開催年数,開催月,科目,問番号,(1),(2),(3),(4),(5),正答番号,問,解説
オリジナル,,労働衛生,27,粉じんのうち肺胞まで到達しやすい微細な粒子は、じん肺の原因となることがある。,振動障害では、手指の血流障害は問題にならない。,赤外線は低温環境でのみ発生し、熱作用を持たない。,局所排気装置は、有害物を作業者の呼吸域へ集めるための装置である。,防じんマスクは、どの粉じんにも布製の簡易マスクで十分である。,1,労働衛生(有害業務に係るもの)における粉じんに関する次の記述のうち、適切なものはどれか。,肺胞に到達しやすいのは比較的小さい粒子です。 したがって、正しいものは1です。
オリジナル,,労働衛生,28,紫外線は、眼や皮膚に障害を起こすことがある。,暑熱作業では、WBGT値などを参考に作業環境や作業負荷を管理する。,防毒マスクは、対象ガスに適した吸収缶を選定する必要がある。,粉じんは粒径が大きいほど肺胞の奥まで到達しやすい。,生物学的モニタリングは、尿や血液中の物質などから体内取り込みを評価する方法である。,4,労働衛生(有害業務に係るもの)における粉じんに関する次の記述のうち、不適切なものはどれか。,肺胞に到達しやすいのは比較的小さい粒子です。 したがって、誤っているものは4です。
オリジナル,,労働衛生,29,騒音性難聴は、ばく露を続けるほど必ず短期間で完全回復する。,紫外線は、眼や皮膚に全く影響を及ぼさない。,遊離けい酸を含む粉じんへの長期ばく露は、けい肺の原因となることがある。,暑熱作業では、体調不良者にも休憩を取らせないことが最も重要である。,防毒マスクは、酸素濃度が低い場所でも単独で常に使用できる。,3,労働衛生(有害業務に係るもの)におけるけい肺に関する次の記述のうち、正しいものはどれか。,けい肺は遊離けい酸を含む粉じんの吸入に関連するじん肺です。 したがって、正しいものは3です。
オリジナル,,労働衛生,30,けい肺は、湿度が低いだけで発症する感染症である。,電離放射線へのばく露管理では、外部被ばくと内部被ばくの両方に注意する。,酸素欠乏危険場所では、作業前の酸素濃度測定や換気が重要である。,プッシュプル型換気装置は、吹出し気流と吸込み気流により有害物を制御する。,作業環境測定は、作業場の有害因子の状態を把握し改善に役立てるために行う。,1,労働衛生(有害業務に係るもの)におけるけい肺に関する次の記述のうち、誤っているものはどれか。,けい肺は遊離けい酸を含む粉じんの吸入に関連するじん肺です。 したがって、誤っているものは1です。
オリジナル,,労働衛生,31,電離放射線では、内部被ばくは存在せず外部被ばくだけを考えればよい。,遊離けい酸を含む粉じんへの長期ばく露は、けい肺の原因となることがある。,酸素欠乏危険場所では、酸素濃度の測定を行う必要はない。,プッシュプル型換気装置は、気流を全く発生させない密閉容器である。,作業環境測定は、労働者の身長を測るためだけに行う。,2,労働衛生(有害業務に係るもの)におけるけい肺に関する次の記述のうち、適切なものはどれか。,けい肺は遊離けい酸を含む粉じんの吸入に関連するじん肺です。 したがって、正しいものは2です。
オリジナル,,労働衛生,32,赤外線ばく露では、熱作用による眼や皮膚への影響に注意する。,有害物を発散する作業では、発散源に近い位置で捕集する局所排気装置が有効である。,防じんマスクは、粉じんの種類や濃度に応じて適切な性能のものを選ぶ。,有害物ばく露対策では、発散源の密閉化が有効な場合がある。,けい肺は、湿度が低いだけで発症する感染症である。,5,労働衛生(有害業務に係るもの)におけるけい肺に関する次の記述のうち、不適切なものはどれか。,けい肺は遊離けい酸を含む粉じんの吸入に関連するじん肺です。 したがって、誤っているものは5です。
オリジナル,,労働衛生,33,振動障害では、手指の血流障害は問題にならない。,赤外線は低温環境でのみ発生し、熱作用を持たない。,局所排気装置は、有害物を作業者の呼吸域へ集めるための装置である。,石綿ばく露は、肺がんや中皮腫などのリスクと関連する。,防じんマスクは、どの粉じんにも布製の簡易マスクで十分である。,4,労働衛生(有害業務に係るもの)における石綿に関する次の記述のうち、正しいものはどれか。,石綿は重篤な呼吸器疾患や中皮腫との関連が知られています。 したがって、正しいものは4です。
オリジナル,,労働衛生,34,紫外線は、眼や皮膚に障害を起こすことがある。,石綿は人体に吸収されると、肺疾患のリスクを完全に低下させる。,暑熱作業では、WBGT値などを参考に作業環境や作業負荷を管理する。,防毒マスクは、対象ガスに適した吸収缶を選定する必要がある。,生物学的モニタリングは、尿や血液中の物質などから体内取り込みを評価する方法である。,2,労働衛生(有害業務に係るもの)における石綿に関する次の記述のうち、誤っているものはどれか。,石綿は重篤な呼吸器疾患や中皮腫との関連が知られています。 したがって、誤っているものは2です。
オリジナル,,労働衛生,35,紫外線は、眼や皮膚に全く影響を及ぼさない。,暑熱作業では、体調不良者にも休憩を取らせないことが最も重要である。,石綿ばく露は、肺がんや中皮腫などのリスクと関連する。,防毒マスクは、酸素濃度が低い場所でも単独で常に使用できる。,生物学的モニタリングは、作業場の照度だけを測る方法である。,3,労働衛生(有害業務に係るもの)における石綿に関する次の記述のうち、適切なものはどれか。,石綿は重篤な呼吸器疾患や中皮腫との関連が知られています。 したがって、正しいものは3です。
オリジナル,,労働衛生,36,石綿は人体に吸収されると、肺疾患のリスクを完全に低下させる。,酸素欠乏危険場所では、作業前の酸素濃度測定や換気が重要である。,プッシュプル型換気装置は、吹出し気流と吸込み気流により有害物を制御する。,作業環境測定は、作業場の有害因子の状態を把握し改善に役立てるために行う。,有害性の高い物質を有害性の低い物質へ代替することは、リスク低減策の一つである。,1,労働衛生(有害業務に係るもの)における石綿に関する次の記述のうち、不適切なものはどれか。,石綿は重篤な呼吸器疾患や中皮腫との関連が知られています。 したがって、誤っているものは1です。
オリジナル,,労働衛生,37,電離放射線では、内部被ばくは存在せず外部被ばくだけを考えればよい。,酸素欠乏危険場所では、酸素濃度の測定を行う必要はない。,プッシュプル型換気装置は、気流を全く発生させない密閉容器である。,作業環境測定は、労働者の身長を測るためだけに行う。,騒音性難聴では、初期に高音域の聴力低下がみられることがある。,5,労働衛生(有害業務に係るもの)における騒音に関する次の記述のうち、正しいものはどれか。,騒音性難聴は進行すると回復困難で、高音域から低下しやすい特徴があります。 したがって、正しいものは5です。
オリジナル,,労働衛生,38,赤外線ばく露では、熱作用による眼や皮膚への影響に注意する。,有害物を発散する作業では、発散源に近い位置で捕集する局所排気装置が有効である。,騒音性難聴は、ばく露を続けるほど必ず短期間で完全回復する。,防じんマスクは、粉じんの種類や濃度に応じて適切な性能のものを選ぶ。,有害物ばく露対策では、発散源の密閉化が有効な場合がある。,3,労働衛生(有害業務に係るもの)における騒音に関する次の記述のうち、誤っているものはどれか。,騒音性難聴は進行すると回復困難で、高音域から低下しやすい特徴があります。 したがって、誤っているものは3です。
オリジナル,,労働衛生,39,赤外線は低温環境でのみ発生し、熱作用を持たない。,局所排気装置は、有害物を作業者の呼吸域へ集めるための装置である。,防じんマスクは、どの粉じんにも布製の簡易マスクで十分である。,騒音性難聴では、初期に高音域の聴力低下がみられることがある。,有害物ばく露対策では、発散源を開放するほどばく露は低下する。,4,労働衛生(有害業務に係るもの)における騒音に関する次の記述のうち、適切なものはどれか。,騒音性難聴は進行すると回復困難で、高音域から低下しやすい特徴があります。 したがって、正しいものは4です。
オリジナル,,労働衛生,40,暑熱作業では、WBGT値などを参考に作業環境や作業負荷を管理する。,騒音性難聴は、ばく露を続けるほど必ず短期間で完全回復する。,防毒マスクは、対象ガスに適した吸収缶を選定する必要がある。,生物学的モニタリングは、尿や血液中の物質などから体内取り込みを評価する方法である。,有害業務に従事する労働者には、業務に応じた特殊健康診断が必要となる場合がある。,2,労働衛生(有害業務に係るもの)における騒音に関する次の記述のうち、不適切なものはどれか。,騒音性難聴は進行すると回復困難で、高音域から低下しやすい特徴があります。 したがって、誤っているものは2です。
オリジナル,,労働衛生,41,手持ち振動工具の使用では、末梢循環障害や末梢神経障害に注意する。,紫外線は、眼や皮膚に全く影響を及ぼさない。,暑熱作業では、体調不良者にも休憩を取らせないことが最も重要である。,防毒マスクは、酸素濃度が低い場所でも単独で常に使用できる。,生物学的モニタリングは、作業場の照度だけを測る方法である。,1,労働衛生(有害業務に係るもの)における振動障害に関する次の記述のうち、正しいものはどれか。,振動障害では白指発作などの末梢循環障害や神経障害が問題となります。 したがって、正しいものは1です。
オリジナル,,労働衛生,42,酸素欠乏危険場所では、作業前の酸素濃度測定や換気が重要である。,プッシュプル型換気装置は、吹出し気流と吸込み気流により有害物を制御する。,作業環境測定は、作業場の有害因子の状態を把握し改善に役立てるために行う。,振動障害では、手指の血流障害は問題にならない。,有害性の高い物質を有害性の低い物質へ代替することは、リスク低減策の一つである。,4,労働衛生(有害業務に係るもの)における振動障害に関する次の記述のうち、誤っているものはどれか。,振動障害では白指発作などの末梢循環障害や神経障害が問題となります。 したがって、誤っているものは4です。
オリジナル,,労働衛生,43,酸素欠乏危険場所では、酸素濃度の測定を行う必要はない。,プッシュプル型換気装置は、気流を全く発生させない密閉容器である。,作業環境測定は、労働者の身長を測るためだけに行う。,有害性の低い物質への代替は、リスク低減とは無関係である。,手持ち振動工具の使用では、末梢循環障害や末梢神経障害に注意する。,5,労働衛生(有害業務に係るもの)における振動障害に関する次の記述のうち、適切なものはどれか。,振動障害では白指発作などの末梢循環障害や神経障害が問題となります。 したがって、正しいものは5です。
オリジナル,,労働衛生,44,有害物を発散する作業では、発散源に近い位置で捕集する局所排気装置が有効である。,防じんマスクは、粉じんの種類や濃度に応じて適切な性能のものを選ぶ。,振動障害では、手指の血流障害は問題にならない。,有害物ばく露対策では、発散源の密閉化が有効な場合がある。,有機溶剤は、蒸気の吸入や皮膚吸収により体内に取り込まれることがある。,3,労働衛生(有害業務に係るもの)における振動障害に関する次の記述のうち、不適切なものはどれか。,振動障害では白指発作などの末梢循環障害や神経障害が問題となります。 したがって、誤っているものは3です。
オリジナル,,労働衛生,45,赤外線は低温環境でのみ発生し、熱作用を持たない。,電離放射線へのばく露管理では、外部被ばくと内部被ばくの両方に注意する。,局所排気装置は、有害物を作業者の呼吸域へ集めるための装置である。,防じんマスクは、どの粉じんにも布製の簡易マスクで十分である。,有害物ばく露対策では、発散源を開放するほどばく露は低下する。,2,労働衛生(有害業務に係るもの)における電離放射線に関する次の記述のうち、正しいものはどれか。,放射線管理では外部被ばくと、放射性物質の摂取等による内部被ばくを考えます。 したがって、正しいものは2です。
オリジナル,,労働衛生,46,暑熱作業では、WBGT値などを参考に作業環境や作業負荷を管理する。,防毒マスクは、対象ガスに適した吸収缶を選定する必要がある。,生物学的モニタリングは、尿や血液中の物質などから体内取り込みを評価する方法である。,有害業務に従事する労働者には、業務に応じた特殊健康診断が必要となる場合がある。,電離放射線では、内部被ばくは存在せず外部被ばくだけを考えればよい。,5,労働衛生(有害業務に係るもの)における電離放射線に関する次の記述のうち、誤っているものはどれか。,放射線管理では外部被ばくと、放射性物質の摂取等による内部被ばくを考えます。 したがって、誤っているものは5です。
オリジナル,,労働衛生,47,電離放射線へのばく露管理では、外部被ばくと内部被ばくの両方に注意する。,暑熱作業では、体調不良者にも休憩を取らせないことが最も重要である。,防毒マスクは、酸素濃度が低い場所でも単独で常に使用できる。,生物学的モニタリングは、作業場の照度だけを測る方法である。,有害業務に従事する労働者には、いかなる場合も健康診断は不要である。,1,労働衛生(有害業務に係るもの)における電離放射線に関する次の記述のうち、適切なものはどれか。,放射線管理では外部被ばくと、放射性物質の摂取等による内部被ばくを考えます。 したがって、正しいものは1です。
オリジナル,,労働衛生,48,プッシュプル型換気装置は、吹出し気流と吸込み気流により有害物を制御する。,作業環境測定は、作業場の有害因子の状態を把握し改善に役立てるために行う。,有害性の高い物質を有害性の低い物質へ代替することは、リスク低減策の一つである。,電離放射線では、内部被ばくは存在せず外部被ばくだけを考えればよい。,有機溶剤の急性中毒では、頭痛、めまい、意識障害などがみられることがある。,4,労働衛生(有害業務に係るもの)における電離放射線に関する次の記述のうち、不適切なものはどれか。,放射線管理では外部被ばくと、放射性物質の摂取等による内部被ばくを考えます。 したがって、誤っているものは4です。
オリジナル,,労働衛生,49,酸素欠乏危険場所では、酸素濃度の測定を行う必要はない。,プッシュプル型換気装置は、気流を全く発生させない密閉容器である。,紫外線は、眼や皮膚に障害を起こすことがある。,作業環境測定は、労働者の身長を測るためだけに行う。,有害性の低い物質への代替は、リスク低減とは無関係である。,3,労働衛生(有害業務に係るもの)における紫外線に関する次の記述のうち、正しいものはどれか。,紫外線は角膜炎や皮膚障害などの原因となることがあります。 したがって、正しいものは3です。
オリジナル,,労働衛生,50,紫外線は、眼や皮膚に全く影響を及ぼさない。,有害物を発散する作業では、発散源に近い位置で捕集する局所排気装置が有効である。,防じんマスクは、粉じんの種類や濃度に応じて適切な性能のものを選ぶ。,有害物ばく露対策では、発散源の密閉化が有効な場合がある。,有機溶剤は、蒸気の吸入や皮膚吸収により体内に取り込まれることがある。,1,労働衛生(有害業務に係るもの)における紫外線に関する次の記述のうち、誤っているものはどれか。,紫外線は角膜炎や皮膚障害などの原因となることがあります。 したがって、誤っているものは1です。
オリジナル,,労働衛生,51,局所排気装置は、有害物を作業者の呼吸域へ集めるための装置である。,紫外線は、眼や皮膚に障害を起こすことがある。,防じんマスクは、どの粉じんにも布製の簡易マスクで十分である。,有害物ばく露対策では、発散源を開放するほどばく露は低下する。,有機溶剤による健康障害は、経口摂取の場合に限られる。,2,労働衛生(有害業務に係るもの)における紫外線に関する次の記述のうち、適切なものはどれか。,紫外線は角膜炎や皮膚障害などの原因となることがあります。 したがって、正しいものは2です。
オリジナル,,労働衛生,52,防毒マスクは、対象ガスに適した吸収缶を選定する必要がある。,生物学的モニタリングは、尿や血液中の物質などから体内取り込みを評価する方法である。,有害業務に従事する労働者には、業務に応じた特殊健康診断が必要となる場合がある。,鉛による健康障害では、貧血、腹部症状、末梢神経障害などが問題となる。,紫外線は、眼や皮膚に全く影響を及ぼさない。,5,労働衛生(有害業務に係るもの)における紫外線に関する次の記述のうち、不適切なものはどれか。,紫外線は角膜炎や皮膚障害などの原因となることがあります。 したがって、誤っているものは5です。
オリジナル,,労働衛生,53,暑熱作業では、体調不良者にも休憩を取らせないことが最も重要である。,防毒マスクは、酸素濃度が低い場所でも単独で常に使用できる。,生物学的モニタリングは、作業場の照度だけを測る方法である。,赤外線ばく露では、熱作用による眼や皮膚への影響に注意する。,有害業務に従事する労働者には、いかなる場合も健康診断は不要である。,4,労働衛生(有害業務に係るもの)における赤外線に関する次の記述のうち、正しいものはどれか。,赤外線は熱作用を持ち、眼や皮膚への影響が問題になります。 したがって、正しいものは4です。
オリジナル,,労働衛生,54,プッシュプル型換気装置は、吹出し気流と吸込み気流により有害物を制御する。,赤外線は低温環境でのみ発生し、熱作用を持たない。,作業環境測定は、作業場の有害因子の状態を把握し改善に役立てるために行う。,有害性の高い物質を有害性の低い物質へ代替することは、リスク低減策の一つである。,有機溶剤の急性中毒では、頭痛、めまい、意識障害などがみられることがある。,2,労働衛生(有害業務に係るもの)における赤外線に関する次の記述のうち、誤っているものはどれか。,赤外線は熱作用を持ち、眼や皮膚への影響が問題になります。 したがって、誤っているものは2です。
オリジナル,,労働衛生,55,プッシュプル型換気装置は、気流を全く発生させない密閉容器である。,作業環境測定は、労働者の身長を測るためだけに行う。,赤外線ばく露では、熱作用による眼や皮膚への影響に注意する。,有害性の低い物質への代替は、リスク低減とは無関係である。,有機溶剤の急性中毒では、中枢神経症状は全くみられない。,3,労働衛生(有害業務に係るもの)における赤外線に関する次の記述のうち、適切なものはどれか。,赤外線は熱作用を持ち、眼や皮膚への影響が問題になります。 したがって、正しいものは3です。
オリジナル,,労働衛生,56,赤外線は低温環境でのみ発生し、熱作用を持たない。,防じんマスクは、粉じんの種類や濃度に応じて適切な性能のものを選ぶ。,有害物ばく露対策では、発散源の密閉化が有効な場合がある。,有機溶剤は、蒸気の吸入や皮膚吸収により体内に取り込まれることがある。,水銀による健康障害では、神経症状や口腔内症状などが問題となる。,1,労働衛生(有害業務に係るもの)における赤外線に関する次の記述のうち、不適切なものはどれか。,赤外線は熱作用を持ち、眼や皮膚への影響が問題になります。 したがって、誤っているものは1です。
オリジナル,,労働衛生,57,局所排気装置は、有害物を作業者の呼吸域へ集めるための装置である。,防じんマスクは、どの粉じんにも布製の簡易マスクで十分である。,有害物ばく露対策では、発散源を開放するほどばく露は低下する。,有機溶剤による健康障害は、経口摂取の場合に限られる。,酸素欠乏危険場所では、作業前の酸素濃度測定や換気が重要である。,5,労働衛生(有害業務に係るもの)における酸素欠乏に関する次の記述のうち、正しいものはどれか。,酸素欠乏災害を防ぐには、測定、換気、監視などが重要です。 したがって、正しいものは5です。
オリジナル,,労働衛生,58,防毒マスクは、対象ガスに適した吸収缶を選定する必要がある。,生物学的モニタリングは、尿や血液中の物質などから体内取り込みを評価する方法である。,酸素欠乏危険場所では、酸素濃度の測定を行う必要はない。,有害業務に従事する労働者には、業務に応じた特殊健康診断が必要となる場合がある。,鉛による健康障害では、貧血、腹部症状、末梢神経障害などが問題となる。,3,労働衛生(有害業務に係るもの)における酸素欠乏に関する次の記述のうち、誤っているものはどれか。,酸素欠乏災害を防ぐには、測定、換気、監視などが重要です。 したがって、誤っているものは3です。
オリジナル,,労働衛生,59,防毒マスクは、酸素濃度が低い場所でも単独で常に使用できる。,生物学的モニタリングは、作業場の照度だけを測る方法である。,有害業務に従事する労働者には、いかなる場合も健康診断は不要である。,酸素欠乏危険場所では、作業前の酸素濃度測定や換気が重要である。,鉛中毒では、肺胞で酸素が過剰に生成されることが主症状である。,4,労働衛生(有害業務に係るもの)における酸素欠乏に関する次の記述のうち、適切なものはどれか。,酸素欠乏災害を防ぐには、測定、換気、監視などが重要です。 したがって、正しいものは4です。
オリジナル,,労働衛生,60,作業環境測定は、作業場の有害因子の状態を把握し改善に役立てるために行う。,酸素欠乏危険場所では、酸素濃度の測定を行う必要はない。,有害性の高い物質を有害性の低い物質へ代替することは、リスク低減策の一つである。,有機溶剤の急性中毒では、頭痛、めまい、意識障害などがみられることがある。,一酸化炭素はヘモグロビンと強く結合し、酸素運搬を妨げる。,2,労働衛生(有害業務に係るもの)における酸素欠乏に関する次の記述のうち、不適切なものはどれか。,酸素欠乏災害を防ぐには、測定、換気、監視などが重要です。 したがって、誤っているものは2です。
オリジナル,,労働衛生,61,暑熱作業では、WBGT値などを参考に作業環境や作業負荷を管理する。,プッシュプル型換気装置は、気流を全く発生させない密閉容器である。,作業環境測定は、労働者の身長を測るためだけに行う。,有害性の低い物質への代替は、リスク低減とは無関係である。,有機溶剤の急性中毒では、中枢神経症状は全くみられない。,1,労働衛生(有害業務に係るもの)における熱中症に関する次の記述のうち、正しいものはどれか。,暑熱作業ではWBGT、休憩、水分・塩分補給、体調確認が重要です。 したがって、正しいものは1です。
オリジナル,,労働衛生,62,防じんマスクは、粉じんの種類や濃度に応じて適切な性能のものを選ぶ。,有害物ばく露対策では、発散源の密閉化が有効な場合がある。,有機溶剤は、蒸気の吸入や皮膚吸収により体内に取り込まれることがある。,暑熱作業では、体調不良者にも休憩を取らせないことが最も重要である。,水銀による健康障害では、神経症状や口腔内症状などが問題となる。,4,労働衛生(有害業務に係るもの)における熱中症に関する次の記述のうち、誤っているものはどれか。,暑熱作業ではWBGT、休憩、水分・塩分補給、体調確認が重要です。 したがって、誤っているものは4です。
オリジナル,,労働衛生,63,防じんマスクは、どの粉じんにも布製の簡易マスクで十分である。,有害物ばく露対策では、発散源を開放するほどばく露は低下する。,有機溶剤による健康障害は、経口摂取の場合に限られる。,水銀は人体に必須であり、多量摂取ほど神経機能を高める。,暑熱作業では、WBGT値などを参考に作業環境や作業負荷を管理する。,5,労働衛生(有害業務に係るもの)における熱中症に関する次の記述のうち、適切なものはどれか。,暑熱作業ではWBGT、休憩、水分・塩分補給、体調確認が重要です。 したがって、正しいものは5です。
オリジナル,,労働衛生,64,生物学的モニタリングは、尿や血液中の物質などから体内取り込みを評価する方法である。,有害業務に従事する労働者には、業務に応じた特殊健康診断が必要となる場合がある。,暑熱作業では、体調不良者にも休憩を取らせないことが最も重要である。,鉛による健康障害では、貧血、腹部症状、末梢神経障害などが問題となる。,硫化水素は高濃度で急速に重篤な中毒を起こす危険がある。,3,労働衛生(有害業務に係るもの)における熱中症に関する次の記述のうち、不適切なものはどれか。,暑熱作業ではWBGT、休憩、水分・塩分補給、体調確認が重要です。 したがって、誤っているものは3です。
オリジナル,,労働衛生,65,防毒マスクは、酸素濃度が低い場所でも単独で常に使用できる。,有害物を発散する作業では、発散源に近い位置で捕集する局所排気装置が有効である。,生物学的モニタリングは、作業場の照度だけを測る方法である。,有害業務に従事する労働者には、いかなる場合も健康診断は不要である。,鉛中毒では、肺胞で酸素が過剰に生成されることが主症状である。,2,労働衛生(有害業務に係るもの)における局所排気装置に関する次の記述のうち、正しいものはどれか。,局所排気装置は有害物を発散源近くで捕集し、作業者のばく露を低減します。 したがって、正しいものは2です。
オリジナル,,労働衛生,66,作業環境測定は、作業場の有害因子の状態を把握し改善に役立てるために行う。,有害性の高い物質を有害性の低い物質へ代替することは、リスク低減策の一つである。,有機溶剤の急性中毒では、頭痛、めまい、意識障害などがみられることがある。,一酸化炭素はヘモグロビンと強く結合し、酸素運搬を妨げる。,局所排気装置は、有害物を作業者の呼吸域へ集めるための装置である。,5,労働衛生(有害業務に係るもの)における局所排気装置に関する次の記述のうち、誤っているものはどれか。,局所排気装置は有害物を発散源近くで捕集し、作業者のばく露を低減します。 したがって、誤っているものは5です。
オリジナル,,労働衛生,67,有害物を発散する作業では、発散源に近い位置で捕集する局所排気装置が有効である。,作業環境測定は、労働者の身長を測るためだけに行う。,有害性の低い物質への代替は、リスク低減とは無関係である。,有機溶剤の急性中毒では、中枢神経症状は全くみられない。,一酸化炭素は酸素よりヘモグロビンと結合しにくく、中毒を起こさない。,1,労働衛生(有害業務に係るもの)における局所排気装置に関する次の記述のうち、適切なものはどれか。,局所排気装置は有害物を発散源近くで捕集し、作業者のばく露を低減します。 したがって、正しいものは1です。
オリジナル,,労働衛生,68,有害物ばく露対策では、発散源の密閉化が有効な場合がある。,有機溶剤は、蒸気の吸入や皮膚吸収により体内に取り込まれることがある。,水銀による健康障害では、神経症状や口腔内症状などが問題となる。,局所排気装置は、有害物を作業者の呼吸域へ集めるための装置である。,粉じんのうち肺胞まで到達しやすい微細な粒子は、じん肺の原因となることがある。,4,労働衛生(有害業務に係るもの)における局所排気装置に関する次の記述のうち、不適切なものはどれか。,局所排気装置は有害物を発散源近くで捕集し、作業者のばく露を低減します。 したがって、誤っているものは4です。
オリジナル,,労働衛生,69,防じんマスクは、どの粉じんにも布製の簡易マスクで十分である。,有害物ばく露対策では、発散源を開放するほどばく露は低下する。,プッシュプル型換気装置は、吹出し気流と吸込み気流により有害物を制御する。,有機溶剤による健康障害は、経口摂取の場合に限られる。,水銀は人体に必須であり、多量摂取ほど神経機能を高める。,3,労働衛生(有害業務に係るもの)におけるプッシュプル型換気に関する次の記述のうち、正しいものはどれか。,プッシュプル型換気は、押し出す気流と吸い込む気流を組み合わせます。 したがって、正しいものは3です。
オリジナル,,労働衛生,70,プッシュプル型換気装置は、気流を全く発生させない密閉容器である。,生物学的モニタリングは、尿や血液中の物質などから体内取り込みを評価する方法である。,有害業務に従事する労働者には、業務に応じた特殊健康診断が必要となる場合がある。,鉛による健康障害では、貧血、腹部症状、末梢神経障害などが問題となる。,硫化水素は高濃度で急速に重篤な中毒を起こす危険がある。,1,労働衛生(有害業務に係るもの)におけるプッシュプル型換気に関する次の記述のうち、誤っているものはどれか。,プッシュプル型換気は、押し出す気流と吸い込む気流を組み合わせます。 したがって、誤っているものは1です。
オリジナル,,労働衛生,71,生物学的モニタリングは、作業場の照度だけを測る方法である。,プッシュプル型換気装置は、吹出し気流と吸込み気流により有害物を制御する。,有害業務に従事する労働者には、いかなる場合も健康診断は不要である。,鉛中毒では、肺胞で酸素が過剰に生成されることが主症状である。,硫化水素は高濃度でも刺激性が弱く、健康障害を起こさない。,2,労働衛生(有害業務に係るもの)におけるプッシュプル型換気に関する次の記述のうち、適切なものはどれか。,プッシュプル型換気は、押し出す気流と吸い込む気流を組み合わせます。 したがって、正しいものは2です。
オリジナル,,労働衛生,72,有害性の高い物質を有害性の低い物質へ代替することは、リスク低減策の一つである。,有機溶剤の急性中毒では、頭痛、めまい、意識障害などがみられることがある。,一酸化炭素はヘモグロビンと強く結合し、酸素運搬を妨げる。,遊離けい酸を含む粉じんへの長期ばく露は、けい肺の原因となることがある。,プッシュプル型換気装置は、気流を全く発生させない密閉容器である。,5,労働衛生(有害業務に係るもの)におけるプッシュプル型換気に関する次の記述のうち、不適切なものはどれか。,プッシュプル型換気は、押し出す気流と吸い込む気流を組み合わせます。 したがって、誤っているものは5です。
オリジナル,,労働衛生,73,作業環境測定は、労働者の身長を測るためだけに行う。,有害性の低い物質への代替は、リスク低減とは無関係である。,有機溶剤の急性中毒では、中枢神経症状は全くみられない。,防毒マスクは、対象ガスに適した吸収缶を選定する必要がある。,一酸化炭素は酸素よりヘモグロビンと結合しにくく、中毒を起こさない。,4,労働衛生(有害業務に係るもの)における防毒マスクに関する次の記述のうち、正しいものはどれか。,防毒マスクは有害ガス用であり、酸素欠乏場所では送気マスク等が必要です。 したがって、正しいものは4です。
オリジナル,,労働衛生,74,有害物ばく露対策では、発散源の密閉化が有効な場合がある。,防毒マスクは、酸素濃度が低い場所でも単独で常に使用できる。,有機溶剤は、蒸気の吸入や皮膚吸収により体内に取り込まれることがある。,水銀による健康障害では、神経症状や口腔内症状などが問題となる。,粉じんのうち肺胞まで到達しやすい微細な粒子は、じん肺の原因となることがある。,2,労働衛生(有害業務に係るもの)における防毒マスクに関する次の記述のうち、誤っているものはどれか。,防毒マスクは有害ガス用であり、酸素欠乏場所では送気マスク等が必要です。 したがって、誤っているものは2です。
オリジナル,,労働衛生,75,有害物ばく露対策では、発散源を開放するほどばく露は低下する。,有機溶剤による健康障害は、経口摂取の場合に限られる。,防毒マスクは、対象ガスに適した吸収缶を選定する必要がある。,水銀は人体に必須であり、多量摂取ほど神経機能を高める。,粉じんは粒径が大きいほど肺胞の奥まで到達しやすい。,3,労働衛生(有害業務に係るもの)における防毒マスクに関する次の記述のうち、適切なものはどれか。,防毒マスクは有害ガス用であり、酸素欠乏場所では送気マスク等が必要です。 したがって、正しいものは3です。
オリジナル,,労働衛生,76,防毒マスクは、酸素濃度が低い場所でも単独で常に使用できる。,有害業務に従事する労働者には、業務に応じた特殊健康診断が必要となる場合がある。,鉛による健康障害では、貧血、腹部症状、末梢神経障害などが問題となる。,硫化水素は高濃度で急速に重篤な中毒を起こす危険がある。,石綿ばく露は、肺がんや中皮腫などのリスクと関連する。,1,労働衛生(有害業務に係るもの)における防毒マスクに関する次の記述のうち、不適切なものはどれか。,防毒マスクは有害ガス用であり、酸素欠乏場所では送気マスク等が必要です。 したがって、誤っているものは1です。
オリジナル,,労働衛生,77,生物学的モニタリングは、作業場の照度だけを測る方法である。,有害業務に従事する労働者には、いかなる場合も健康診断は不要である。,鉛中毒では、肺胞で酸素が過剰に生成されることが主症状である。,硫化水素は高濃度でも刺激性が弱く、健康障害を起こさない。,防じんマスクは、粉じんの種類や濃度に応じて適切な性能のものを選ぶ。,5,労働衛生(有害業務に係るもの)における防じんマスクに関する次の記述のうち、正しいものはどれか。,粉じんばく露対策では、作業に応じた防じんマスクの選定が必要です。 したがって、正しいものは5です。
オリジナル,,労働衛生,78,有害性の高い物質を有害性の低い物質へ代替することは、リスク低減策の一つである。,有機溶剤の急性中毒では、頭痛、めまい、意識障害などがみられることがある。,防じんマスクは、どの粉じんにも布製の簡易マスクで十分である。,一酸化炭素はヘモグロビンと強く結合し、酸素運搬を妨げる。,遊離けい酸を含む粉じんへの長期ばく露は、けい肺の原因となることがある。,3,労働衛生(有害業務に係るもの)における防じんマスクに関する次の記述のうち、誤っているものはどれか。,粉じんばく露対策では、作業に応じた防じんマスクの選定が必要です。 したがって、誤っているものは3です。
