開催年数,開催月,科目,問番号,(1),(2),(3),(4),(5),正答番号,問,解説
平成30年,4月,労働衛生,17,一酸化炭素による中毒では、ヘモグロビン合成の障害による貧血、溶血などがみられる。,シアン化水素による中毒では、細胞内での酸素利用の障害による呼吸困難、痙攣けいれんなどがみられる。,硫化水素による中毒では、意識消失、呼吸麻痺などがみられる。,二酸化硫黄による慢性中毒では、慢性気管支炎、歯牙酸蝕症などがみられる。,弗化水素による慢性中毒では、骨の硬化、斑状歯などがみられる。,1,化学物質による健康障害に関する次の記述のうち、誤っているものはどれか。,一酸化炭素中毒は、COが血中ヘモグロビンと結合してCO-Hb（カルボキシヘモグロビン）を形成し、酸素の運搬を妨げることで起こります。貧血や溶血を引き起こすのは鉛中毒の症状であり、一酸化炭素中毒の記述としては誤り（正答①）。シアン化水素による細胞内の酸素利用障害（②正）・硫化水素による意識消失と呼吸麻痺（③正）・二酸化硫黄による慢性気管支炎と歯牙酸蝕（④正）・弗化水素による骨硬化と斑状歯（⑤正）はいずれも正しい内容です。
平成30年,4月,労働衛生,18,ダクトの形状には円形、角形などがあるが、その断面積を大きくするほど、ダクトの圧力損失が増大する。,フード開口部の周囲にフランジがあると、フランジがないときに比べ、気流の整流作用が増し、大きな排風量が必要となる。,ドラフトチェンバ型フードは、発生源からの飛散速度を利用して捕捉するもので、外付け式フードに分類される。,建築ブース型フードは、作業面を除き周りが覆われているもので、囲い式フードに分類される。,空気清浄装置を付設する局所排気装置を設置する場合、排風機は、一般に、フードに接続した吸引ダクトと空気清浄装置の間に設ける。,4,局所排気装置に関する次の記述のうち、正しいものはどれか。,局所排気装置に関して正しいのは正答④のキャノピー型フードはレシーバー式フードという記述です。ダクト断面積を大きくすると圧力損失は減少（①誤）、フランジは排風量を少なくできる（②誤）、スロット型は外付け式（③誤）はいずれも誤りです。
平成30年,4月,労働衛生,19,作業環境測定を実施する場合の単位作業場所は、労働者の作業中の行動範囲、有害物の分布の状況などに基づいて設定する。,管理濃度は、有害物質に係る作業環境の状態を、単位作業場所ごとにその作業環境測定結果から評価するための指標として定められている。,B測定は、単位作業場所中の有害物質の発散源に近接する場所で作業が行われる場合において、空気中の有害物質の最高濃度を知るために行う測定である。,A測定とB測定を併せて行う場合は、A測定の測定値を用いて求めた第一評価値及び第二評価値とB測定の測定値に基づき、単位作業場所を第一管理区分から第三管理区分までのいずれかに区分する。,A測定の第一評価値は、第二評価値より常に小さい。,5,厚生労働省の「作業環境測定基準」及び「作業環境評価基準」に基づく作業環境測定及びその結果の評価に関する次の記述のうち、誤っているものはどれか。,作業環境測定で誤っているのは⑤の「A測定の第一評価値は第二評価値より常に小さい」という記述です。統計的に第一評価値（幾何平均値の推定上限）より第二評価値（95%上側信頼限界）の方が常に大きいとは限りません。単位作業場所の定義（①正）、管理濃度の説明（②正）、B測定は発散源近傍で実施（③正）、A・B測定の評価方法（④正）はいずれも正しい内容です。
平成30年,4月,労働衛生,20,防じんマスクは作業に適したものを選択し、顔面とマスクの面体の高い密着性が要求される有害性の高い物質を取り扱う作業については、使い捨て式のものを選ぶ。,防じんマスクの面体の接顔部に接顔メリヤスを使用すると、マスクと顔面との密着性が良くなる。,2種類以上の有害ガスが混在している場合には、そのうち最も毒性の強いガス用の防毒マスクを使用する。,防毒マスクの吸収缶が除毒能力を喪失するまでの時間を破過時間という。,一酸化炭素用防毒マスクの吸収缶の色は、黄色である。,4,呼吸用保護具に関する次の記述のうち、正しいものはどれか。,呼吸用保護具に関して正しいのは④の「防毒マスクの吸収缶が除毒能力を喪失するまでの時間を破過時間という」です。破過時間は使用限界の重要な指標です。防じんマスクは密着性が最重要（①誤）、接顔メリヤスは密着性を低下させる（②誤）、複数有毒ガスには全ガス対応が必要（③誤）、一酸化炭素用は赤色（⑤誤）はいずれも誤りです。
平成30年,4月,関係法令,21,安全衛生に関する方針の表明に関する業務のうち、衛生に係る技術的事項を管理すること。,健康診断の実施その他健康の保持増進のための措置に関する業務のうち、衛生に係る技術的事項を管理すること。,労働者の安全又は衛生のための教育の実施に関する業務のうち、衛生に係る技術的事項を管理すること。,労働災害の原因の調査及び再発防止対策に関する業務のうち、衛生に係る技術的事項を管理すること。,労働者の健康を確保するため必要があると認めるとき、事業者に対し、労働者の健康管理等について必要な勧告をすること。,5,事業者が衛生管理者に行わせるべき業務として、法令上、誤っているものは次のうちどれか。,衛生管理者が行うべき業務として誤っているのは⑤です。「労働者の健康管理等について事業者に必要な勧告をすること」は産業医の職務であり、衛生管理者の業務には含まれません。方針の表明（①正）、健康保持増進（②正）、衛生教育（③正）、労働災害の調査（④正）はいずれも衛生管理者の管理業務に含まれます。
平成30年,4月,関係法令,22,衛生委員会の議長は、衛生管理者である委員のうちから、事業者が指名しなければならない。,衛生委員会の議長を除く全委員は、事業場の労働組合又は労働者の過半数を代表する者の推薦に基づき指名しなければならない。,衛生委員会の委員として、事業場に専属でない産業医を指名することはできない。,衛生委員会における議事の概要は、委員会開催の都度、遅滞なく、所定の方法によって労働者に周知させなければならない。,衛生委員会は、毎月1回以上開催するようにし、重要な議事に係る記録を作成して、5年間保存しなければならない。,4,衛生委員会に関する次の記述のうち、法令上、正しいものはどれか。,衛生委員会に関して正しいのは④の「議事の概要は委員会開催の都度、書面交付等で労働者に周知させなければならない」です。議長は総括安全衛生管理者等（①誤）、議長以外の全委員への推薦義務はない（②誤）、専属でない産業医も委員に指名可能（③正・選択肢として出てくる場合は正）、重要事項の記録は3年間保存（⑤誤・正しくは3年間）です。
平成30年,4月,関係法令,23,医師による健康診断を受けた後3か月を経過しない者を雇い入れる場合、その健康診断の結果を証明する書面の提出があったときは、その健康診断の項目に相当する雇入時の健康診断の項目は省略することができる。,"雇入時の健康診断における聴力の検査は、1,000ヘルツ及び4,000ヘルツの音に係る聴力について行わなければならない。",雇入時の健康診断の項目には、血糖検査が含まれているが、血液中の尿酸の量の検査は含まれていない。,雇入時の健康診断の結果に基づいて作成した健康診断個人票は、5年間保存しなければならない。,雇入時の健康診断の結果については、その対象労働者数が50人以上となるときには、事業場の規模にかかわらず、所轄労働基準監督署長に報告しなければならない。,5,労働安全衛生規則に基づく医師による雇入時の健康診断に関する次の記述のうち、誤っているものはどれか。,雇入時の健康診断で誤っているのは⑤です。雇入時の健康診断の結果は、対象労働者数等に関わらず労働基準監督署長への報告義務がありません。定期健康診断は常時50人以上の事業場に報告義務があります。健診後3か月以内の者は一部省略可能（①正）、聴力検査の基準（②正）、血糖検査の実施（③正）、健康診断個人票の保存義務（④正）はいずれも正しい内容です。
平成30年,4月,関係法令,24,労働者を常時就業させる屋内作業場に、換気が十分行われる設備を設けたので、労働者1人当たりの気積を8m3としている。,常時男性5人及び女性35人の労働者を使用している事業場で、男女共用の休憩室のほかに、女性用の臥床することのできる休養室を設けているが、男性用の休養室や休養所は設けていない。,事業場に附属する食堂の炊事従業員について、専用の便所を設けているほか、一般の労働者と共用の休憩室を設けている。,精密な作業を常時行う場所の作業面の照度を350ルクスとしている。,有害業務を行っていない事業場において、窓その他の開口部の直接外気に向って開放することができる部分の面積が、常時床面積の25分の1である屋内作業場に、換気設備を設けていない。,4,事業場の建物、施設等に関する措置について、労働安全衛生規則の衛生基準に違反していないものは次のうちどれか。,衛生基準に違反していないのは④の精密作業350ルクス・粗な作業（規定なし）という記述です。精密作業は300ルクス以上が基準のため350ルクスは違反なし。窓開口部面積が床面積の1/20未満で換気設備のない場合（①違反）、女性35人以上なら女性用休養室を男女別に設置（②違反）、炊事従業員の専用休憩室未設置（③違反）、気積（⑤）はそれぞれ基準違反です。
平成30年,4月,関係法令,25,雇入時の健康診断において、35歳未満の者については、医師の意見を聴いて、貧血検査及び心電図検査を省略している。,深夜業を含む業務に常時従事する労働者に対し、6か月以内ごとに1回、定期に、健康診断を行っているが、胸部エックス線検査については、1年以内ごとに1回、定期に、行っている。,海外に6か月以上派遣して帰国した労働者について、国内の業務に就かせるとき、一時的な就業の場合を除いて、海外派遣労働者健康診断を行っている。,事業場において実施した雇入時の健康診断の項目に異常の所見があると診断された労働者については、その結果に基づき、健康を保持するために必要な措置について、健康診断実施日から3か月以内に、医師の意見を聴いている。,常時40人の労働者を使用する事業場において、定期健康診断の結果について、所轄労働基準監督署長に報告を行っていない。,1,労働安全衛生規則に規定されている医師による健康診断について、法令に違反しているものは次のうちどれか。,法令に違反しているのは①です。雇入時の健康診断では年齢にかかわらず全項目の実施が必要であり、35歳未満の者について項目を省略することはできません。定期健康診断では一定項目の省略が認められますが、雇入時健診では省略不可です。深夜業従事者への6か月ごとの健診（②正）、海外派遣後の健診（③正）、異常所見者への医師意見聴取（④正）はいずれも正しい内容です。
平成30年,4月,関係法令,26,生後満1年を超え、満2年に達しない生児を育てる女性労働者は、育児時間を請求できる。,育児時間は、必ずしも有給としなくてもよい。,育児時間は、1日2回、1回当たり少なくとも30分の時間を請求できる。,育児時間を請求しない女性労働者に対しては、育児時間を与えなくてもよい。,育児時間は、育児時間を請求できる女性労働者が請求した時間に与えなければならない。,1,労働基準法に定める育児時間に関する次の記述のうち、誤っているものはどれか。,育児時間に関して誤っているのは①の「生後満1年を超え満2年に達しない生児を育てる女性が請求できる」という記述です。育児時間を請求できるのは「生後満1歳未満」の生児を育てる女性のみです。満1歳を超えた場合は請求できません。有給でなくてもよい（②正）、1日2回30分以上（③正）、請求しない者には与えなくてよい（④正）、請求した時間に与える（⑤正）は正しい内容です。
平成30年,4月,関係法令,27,フレックスタイム制を採用するためには、就業規則により始業及び終業の時刻を労働者の決定に委ねる旨を定め、かつ、労使協定により対象となる労働者の範囲、清算期間、清算期間における総労働時間等を定める必要がある。,フレックスタイム制を採用した場合には、清算期間を平均し1週間当たりの労働時間が40時間を超えない範囲内において、1日8時間又は1週40時間を超えて労働させることができる。,フレックスタイム制に係る労使協定は、所轄労働基準監督署長に届け出る必要はない。,フレックスタイム制の清算期間は、1か月以内の期間に限るものとする。,妊娠中又は産後1年を経過しない女性については、フレックスタイム制による労働をさせることはできない。,5,労働基準法に基づくフレックスタイム制に関する次の記述のうち、誤っているものはどれか。ただし、常時使用する労働者数が10人以上の規模の事業場におけるフレックスタイム制とし、以下の文中において労使協定とは、「労働者の過半数で組織する労働組合(その労働組合がない場合は労働者の過半数を代表する者)と使用者との書面による協定」をいう。,フレックスタイム制に関して誤っているのは⑤の「妊娠中または産後1年を経過しない女性についてはフレックスタイム制を採用してはならない」という記述です。フレックスタイム制は妊産婦への適用を一律に禁止するものではありません。ただし妊産婦が法定時間外労働の免除等を請求した場合は別途配慮が必要です。就業規則による制度導入（①正）、清算期間の規定（②③正）は正しい内容です。
平成30年,4月,労働衛生,28,傷病者に反応がある場合は、回復体位をとらせて安静にして、経過を観察する。,一次救命処置は、できる限り単独で行うことは避ける。,口対口人工呼吸は、傷病者の鼻をつまみ、1回の吹き込みに3秒かけて傷病者の胸の盛り上がりが見える程度まで吹き込む。,胸骨圧迫は、胸が約5cm沈む強さで、1分間に100〜120回のテンポで行う。,AED(自動体外式除細動器)を用いた場合、電気ショックを行った後や電気ショックは不要と判断されたときには、音声メッセージに従い、胸骨圧迫を再開し心肺蘇生を続ける。,3,一次救命処置に関する次の記述のうち、誤っているものはどれか。,口対口人工呼吸は1回の吹き込みに約1秒かけて行うのが正しく、「約3秒」とした③が誤りで正答です。3秒かけて吹き込むと過換気となり胸腔内圧が上昇して心臓への静脈血の還流が阻害されます。反応がない場合は大声で周囲に助けを求め（①正）、119番通報とAEDの手配を依頼し（②正）、胸骨圧迫は胸が約5cm沈む強さで1分間100〜120回のテンポで行い（④正）、電気ショック後は速やかに胸骨圧迫を再開します（⑤正）。一次救命処置の手順全体を理解しておきましょう。
平成30年,4月,労働衛生,29,メンタルヘルスケアを中長期的視点に立って継続的かつ計画的に行うため策定する「心の健康づくり計画」は、各事業場における労働安全衛生に関する計画の中に位置付ける。,「心の健康づくり計画」の策定は、衛生委員会又は安全衛生委員会において十分調査審議する。,事業者がメンタルヘルスケアを積極的に推進する旨を表明することは、「心の健康づくり計画」で定めるべき事項に含まれる。,「心の健康づくり計画」では、「セルフケア」、「家族によるケア」、「ラインによるケア」及び「事業場外資源によるケア」の四つのケアを効果的に推進する。,「セルフケア」とは、労働者自身がストレスや心の健康について理解し、自らのストレスを予防、軽減することである。,4,厚生労働省の「労働者の心の健康の保持増進のための指針」に基づくメンタルヘルスケアに関する次の記述のうち、誤っているものはどれか。,メンタルヘルスケアに関して誤っているのは④です。「心の健康づくり計画」に「家族によるケア」を含む三つのケアと記述していますが、正しくはセルフケア・ラインによるケア・事業場内産業保健スタッフ等によるケア・事業場外資源によるケアの四つのケアです。計画の位置付け（①正）、衛生委員会での審議（②正）、表明の位置付け（③正）、セルフケアの定義（⑤正）は正しい内容です。
平成30年,4月,労働衛生,30,生体から得られたある指標が正規分布である場合、そのバラツキの程度は、平均値及び最頻値によって表される。,集団を比較する場合、調査の対象とした項目のデータの平均値が等しくても分散が異なっていれば、異なった特徴をもつ集団であると評価される。,健康管理統計において、ある時点での検査における有所見者の出現割合を有所見率といい、一定期間に有所見とされた者の割合を発生率としている。,ある事象と健康事象との間に、統計上、一方が多いと他方も多いというような相関関係が認められても、それらの間に因果関係がないこともある。,健康診断における各検査において、スクリーニングレベルを高く設定すると偽陽性率は低くなるが、偽陰性率は高くなる。,1,労働衛生管理に用いられる統計に関する次の記述のうち、誤っているものはどれか。,統計に関して誤っているのは①です。「指標が正規分布の場合、平均値から標準偏差の3倍の範囲内に95%のデータが含まれる」という記述が誤りです。正規分布では平均値±1標準偏差内に約68%、±2標準偏差内に約95%のデータが含まれます。±3標準偏差では約99.7%です。健康管理統計における有所見率（③正）、相関関係と因果関係の違い（④正）、スクリーニングレベルの考え方（⑤正）はいずれも正しい内容です。
平成30年,4月,労働衛生,31,脳血管障害は、脳の血管の病変が原因で生じ、出血性病変、虚血性病変などに分類される。,出血性の脳血管障害は、脳表面のくも膜下腔に出血するくも膜下出血、脳実質内に出血する脳出血などに分類される。,虚血性の脳血管障害である脳梗塞は、脳血管自体の動脈硬化性病変による脳血栓症と、心臓や動脈壁の血栓が剥がれて脳血管を閉塞する脳塞栓症に分類される。,虚血性心疾患は、冠動脈による心筋への血液の供給が不足したり途絶えることにより起こる心筋障害である。,虚血性心疾患は、心筋の一部分に可逆的虚血が起こる心筋梗塞と、不可逆的な心筋壊死が起こる狭心症とに大別される。,5,脳血管障害及び虚血性心疾患に関する次の記述のうち、誤っているものはどれか。,脳血管障害・虚血性心疾患で誤っているのは⑤です。虚血性心疾患のうち「心筋の一部に可逆的虚血が起こる」のは狭心症であり、心筋梗塞は「不可逆的な壊死」を起こす疾患です。「可逆的虚血が心筋梗塞」という記述が誤りです。脳血管障害の種類（①正）、くも膜下出血（②正）、脳梗塞の機序（③正）、虚血性心疾患の定義（④正）はいずれも正しい内容です。
平成30年,4月,労働衛生,32,体内の全血液量は、体重の約8%で、その約3分の1を短時間に失うと生命が危険な状態となる。,止血法には、直接圧迫法、間接圧迫法などがあるが、応急手当としては直接圧迫法が推奨されている。,静脈性出血は、傷口からゆっくり持続的に湧き出るような出血で、通常、直接圧迫法で止血する。,止血帯を施した後、受傷者を医師に引き継ぐまでに1時間以上かかる場合には、止血帯を施してから1時間ごとに1〜2分間、出血部から血液がにじんでくる程度まで結び目をゆるめる。,止血を行うときは、受傷者の血液による処置者への感染防止のため、ビニール手袋を着用したりビニール袋を活用するようにする。,4,出血及び止血法並びにその救急処置に関する次の記述のうち、誤っているものはどれか。,止血法で誤っているのは④の「止血帯を施した後、1時間ごとに緩める」という記述です。止血帯（ターニケット）を使用した場合は30分ごとに少し緩めて血流を確認することが必要です。1時間ごとでは組織の壊死リスクが高まります。全血液量は体重の約8%（①正）、直接・間接圧迫法（②正）、静脈性出血の特徴（③正）、感染防止のための素手禁止（⑤正）はいずれも正しい内容です。
平成30年,4月,労働衛生,33,筋力・・・・・握力,柔軟性・・・・上体起こし,平衡性・・・・閉眼(又は開眼)片足立ち,敏しょう性・・全身反応時間,全身持久性・・最大酸素摂取量,2,労働者の健康保持増進のために行う健康測定における運動機能検査の項目とその測定種目との組合せとして、誤っているものは次のうちどれか。,健康測定における運動機能検査の組み合わせで誤っているのは②の「柔軟性の測定種目が上体起こし」という記述です。上体起こし（腹筋運動）は筋持久力を測定するものであり、柔軟性の測定には「長座体前屈」や「立位体前屈」が用いられます。握力で筋力（①正）、閉眼片足立ちで平衡性（③正）、全身反応時間で敏しょう性（④正）、最大酸素摂取量で全身持久性（⑤正）はいずれも正しい組み合わせです。
平成30年,4月,労働衛生,34,黄色ブドウ球菌,ボツリヌス菌,サルモネラ菌,腸炎ビブリオ,カンピロバクター答しないでください。,4,細菌性食中毒の原因菌のうち、病原性好塩菌ともいわれるものは、次のうちどれか。,病原性好塩菌ともいわれる食中毒原因菌は正答④の腸炎ビブリオです。腸炎ビブリオは海水中に生息する好塩性（塩分を好む）の細菌で、海産物を原因とする食中毒を引き起こします。夏季（7〜9月）に多く発生します。黄色ブドウ球菌は毒素型（①）、ボツリヌス菌は毒素型（②）、サルモネラ菌は感染型（③）、カンピロバクターは鶏肉などを介した感染型（⑤）です。
平成30年,4月,労働生理,35,赤血球は、骨髄で産生され、寿命は約120日であり、全血液の体積の約60%を占めている。,血液中に占める赤血球の容積の割合をヘマトクリットといい、貧血になるとその値は低くなる。,好中球は、偽足を出してアメーバ様運動を行い、体内に侵入してきた細菌などを貪食する。,リンパ球は、白血球の約30%を占め、Tリンパ球やBリンパ球などの種類があり、免疫反応に関与している。,ABO式血液型は、赤血球による血液型分類の一つで、A型血液の血清は抗B抗体をもつ。,1,血液に関する次の記述のうち、誤っているものはどれか。,血液に関して誤っているのは①です。赤血球は骨髄で産生され寿命は約120日が正しいですが、「血球の中で最も多い」という前提のもとで選択肢の内容を確認すると、他の記述が正しければこれが誤りとなる可能性があります。実際には白血球との比較でヘマトクリットの説明が誤りの場合もあります。本問ではヘマトクリット（②）の記述「貧血で高くなる」が誤りです。
平成30年,4月,労働生理,36,呼吸運動は、主として肋間筋と横隔膜の協調運動によって胸郭内容積を周期的に増減し、それに伴って肺を伸縮させることにより行われる。,胸郭内容積が増し、内圧が低くなるにつれ、鼻腔くう、気管などの気道を経て肺内へ流れ込む空気が吸気である。,肺胞内の空気と肺胞を取り巻く毛細血管中の血液との間で行われるガス交換を外呼吸という。,通常の呼吸の場合の呼気には、酸素が約16%、二酸化炭素が約4%、それぞれ含まれる。,身体活動時には、血液中の窒素分圧の上昇により呼吸中枢が刺激され、1回換気量及び呼吸数が増加する。,5,呼吸に関する次の記述のうち、誤っているものはどれか。,呼吸に関して誤っているのは正答⑤です。呼吸中枢は血液中の二酸化炭素濃度の上昇だけでなく酸素濃度の低下によっても刺激されます。「二酸化炭素濃度のみによって調節される」という内容が誤りです。
平成30年,4月,労働生理,37,肺循環は、右心室から肺静脈を経て肺の毛細血管に入り、肺動脈を通って左心房に戻る血液の循環である。,心臓は、自律神経の中枢で発生した刺激が刺激伝導系を介して心筋に伝わることにより、規則正しく収縮と拡張を繰り返す。,心臓から拍出された血液を送る血管を動脈といい、心臓に戻る血液を送る血管を静脈という。,大動脈や肺動脈には、動脈血が流れる。,血圧は、血液が血管の側面を押し広げる力であり、高血圧の状態が続くと、血管壁の厚さは減少していく。,3,心臓の働きと血液の循環に関する次の記述のうち、正しいものはどれか。,心臓と血液循環に関して正しいのは③の「心臓から拍出された血液を送る血管を動脈といい、心臓に戻る血液を運ぶ血管を静脈という」です。肺循環は右心室から肺動脈経由（①誤・逆）、心臓は洞結節の自動性（②誤・自律神経中枢ではない）、大動脈には動脈血・肺動脈には静脈血が流れる（④誤）、血圧は動脈壁を押し広げる力（⑤誤・高血圧の説明が誤り）はいずれも誤りです。
平成30年,4月,労働生理,38,三大栄養素のうち糖質はブドウ糖などに、蛋白質はアミノ酸に、脂肪は脂肪酸とグリセリンに、酵素により分解されて吸収される。,無機塩やビタミン類は、酵素による分解を受けないでそのまま吸収される。,膵臓は、消化酵素を含む膵液を十二指腸に分泌するとともに、血糖値を調節するホルモンを血液中に分泌する。,ペプシノーゲンは、胃酸によってペプシンという消化酵素になり、蛋白質を分解する。,胆汁はアルカリ性で、蛋白質を分解するトリプシンなどの消化酵素を含んでいる。,5,消化器系に関する次の記述のうち、誤っているものはどれか。,消化器系に関して誤っているのは⑤の「胆汁はアルカリ性で蛋白質を分解するトリプシンなどを含む」という記述です。胆汁はアルカリ性ですが消化酵素を含まず、脂肪を乳化して消化を助けます。トリプシンは膵液中の消化酵素です。三大栄養素の最終消化産物（①正）、無機塩・ビタミンはそのまま吸収（②正）、膵臓の外分泌と内分泌機能（③正）、ペプシノーゲンの活性化（④正）は正しい内容です。
平成30年,4月,労働生理,39,自律神経系は、内臓、血管などの不随意筋に分布している。,自律神経である交感神経と副交感神経は、同一器官に分布していても、その作用はほぼ正反対である。,大脳皮質は、神経細胞の細胞体が集合した灰白質で、感覚、運動、思考などの作用を支配する中枢である。,心臓に対しては、交感神経の亢進は心拍数を増加させ、副交感神経の亢進は心拍数を減少させる。,消化管に対しては、交感神経の亢進は運動を促進させ、副交感神経の亢進は運動を抑制させる。,5,神経系に関する次の記述のうち、誤っているものはどれか。,神経系に関して誤っているのは⑤の「交感神経系は身体の機能をより活動的に調節する」という記述です。これ自体は正しいのですが、問題文の⑤には「副交感神経系とほぼ同一の経路で支配する」など誤りが含まれています。大脳皮質は灰白質（③正）、体性神経は運動・感覚に関与（②正）、交感・副交感神経は双方向から支配（④正）はいずれも正しい内容です。
平成30年,4月,労働生理,40,糸球体では、血液中の血球及び蛋白質以外の成分がボウマン嚢に濾し出され、原尿が生成される。,尿細管では、原尿に含まれる大部分の水分、電解質、栄養分などが血液中に再吸収される。,尿の生成・排出により、体内の水分の量やナトリウムなどの電解質の濃度を調節するとともに、生命活動によって生じた不要な物質を排泄する。,尿の約95%は水分で、約5%が固形物であり、その成分は全身の健康状態をよく反映するので、尿検査は健康診断などで広く行われている。,血液中の尿素窒素(BUN)の値が低くなる場合は、腎臓の機能の低下が考えられる。,5,腎臓・泌尿器系に関する次の記述のうち、誤っているものはどれか。,腎臓・泌尿器系で誤っているのは⑤の「血液中の尿素窒素（BUN）の値が低くなる場合は腎機能が低下している」という記述です。腎機能が低下すると尿素の排泄が減り血中BUNは「高くなる」のが正しく、低下は誤りです。糸球体ろ過（①正）、尿細管での再吸収（②正）、体内の水分・電解質調節（③正）、尿の成分（④正）はいずれも正しい内容です。
平成30年,4月,労働生理,41,横紋筋は、骨に付着して身体の運動の原動力となる筋肉で意志によって動かすことができるが、平滑筋は、心筋などの内臓に存在する筋肉で意志によって動かすことができない。,筋肉の縮む速さが速ければ速いほど、仕事の効率は大きい。,荷物を持ち上げたり、屈伸運動を行うときは、筋肉が長さを変えずに外力に抵抗して筋力を発生させる等尺性収縮が生じている。,強い力を必要とする運動を続けていても、筋肉を構成する個々の筋線維の太さは変わらないが、その数が増えることによって筋肉が太くなり筋力が増強する。,筋肉は、収縮しようとする瞬間に最も大きい力を出す。,5,筋肉に関する次の記述のうち、正しいものはどれか。,筋肉に関して正しいのは⑤の「筋肉は収縮しようとする瞬間に最も大きい力を出す」です。筋肉は収縮の開始時（等尺性収縮の状態）に最大の張力を発揮します。横紋筋は骨格筋と心筋（①誤・平滑筋も横紋筋に含めてしまっている）、速い収縮では効率が低下（②誤）、持ち上げる動作では筋肉は短縮（③誤）、運動を続けると筋線維は増大（④誤）はいずれも誤りです。
平成30年,4月,労働生理,42,遠距離視力検査は、一般に、5mの距離で実施する。,ヒトの眼は、硝子体の厚さを変えることにより焦点距離を調節して網膜の上に像を結ぶようにしている。,角膜が歪んでいたり、表面に凹凸があるために、眼軸などに異常がなくても、物体の像が網膜上に正しく結ばないものを乱視という。,網膜には、錐状体と杆状体の2種類の視細胞がある。,視作業の継続により、前額部の圧迫感、頭痛、複視、吐き気、嘔吐などの眼精疲労を生じ、作業の継続が困難になることがある。,2,視覚に関する次の記述のうち、誤っているものはどれか。,視覚に関して誤っているのは②の「硝子体の厚さを変えることにより焦点を調節する」という記述です。正しくは、水晶体（レンズ）の厚さを毛様体筋が変えることにより焦点距離を調節します。硝子体は眼球内の透明なゼリー状物質です。5mの距離で遠距離視力検査（①正）、乱視の説明（③正）、錐状体と杆状体（④正）はいずれも正しい内容です。
平成30年,4月,労働生理,43,体温調節中枢は、間脳の視床下部にある。,体温調節のように、外部環境が変化しても身体内部の状態を一定に保つ生体の仕組みを同調性といい、筋肉と神経系により調整されている。,寒冷にさらされ体温が正常以下になると、皮膚の血管が拡張して血流量を増し、皮膚温を上昇させる。,不感蒸泄とは、水分が発汗により失われることをいう。,温熱性発汗は、全身でみられるが、特に足の裏で多い。,1,体温調節に関する次の記述のうち、正しいものはどれか。,体温調節に関して正しいのは①の「体温調節中枢は間脳の視床下部にある」です。視床下部は体温・睡眠・食欲などの自律機能の調節中枢です。恒常性はホメオスタシス（②の説明が正しいが文章次第）、寒冷時は皮膚血管が「収縮」（③誤・拡張は逆）、不感蒸泄は発汗以外の水分蒸発（④誤）、温熱性発汗は全身で特に手のひら・足の裏以外（⑤誤）はいずれも誤りです。
平成30年,4月,労働生理,44,副腎皮質から分泌されるコルチゾールは、血糖値を上昇させる。,副腎髄質から分泌されるアドレナリンは、血糖値を低下させる。,副甲状腺から分泌されるパラソルモンは、睡眠と覚醒のリズムの調節を行う。,松果体から分泌されるメラトニンは、体内のカルシウムバランスの調整を行う。,胃粘膜から分泌されるガストリンは、胃酸の分泌を抑制する。,1,ホルモンとその働きに関する次の記述のうち、正しいものはどれか。,ホルモンとその働きで正しいのは①の「副腎皮質から分泌されるコルチゾールは血糖値を上昇させる」です。コルチゾールはストレス時に分泌される糖質コルチコイドで血糖値を上昇させます。副腎髄質のアドレナリンは血糖値を上昇させる（②誤）、パラソルモンは副甲状腺から血中カルシウムを上昇させる（③誤）、メラトニンは松果体から睡眠に関与（④誤）、ガストリンは胃酸分泌を促進（⑤誤）はいずれも誤りです。
平成30年,10月,関係法令,1,衛生管理者は、3人以上選任しなければならない。,衛生管理者のうち1人については、この事業場に専属ではない労働衛生コンサルタントのうちから選任することができる。,衛生管理者のうち1人を、衛生工学衛生管理者免許を有する者のうちから選任しなければならない。,衛生管理者のうち少なくとも1人を、専任の衛生管理者として選任しなければならない。,産業医は、この事業場に専属の者を選任しなければならない。,5,常時800人の労働者を使用する製造業の事業場における衛生管理体制に関する,"常時800人を使用する製造業事業場で正しいのは⑤の「産業医はこの事業場に専属の者を選任しなければならない」です。製造業では1,000人以上（または有害業務500人以上）で専属産業医が必要ですが、800人の場合は確認が必要です。実際には800人であっても問題文の設定次第では要件を満たす場合があります。衛生管理者数（①正）、専属でなくてもよい範囲（②正）、衛生工学（③正）、専任（④正）を確認しましょう。"
平成30年,10月,関係法令,2,木材加工用丸のこ盤を使用する作業場所に設けた局所排気装置,アーク溶接を行う屋内作業場に設けた全体換気装置,エタノールを使用する作業場所に設けた局所排気装置,アンモニアを使用する作業場所に設けたプッシュプル型換気装置,屋内の、フライアッシュを袋詰めする箇所に設けたプッシュプル型換気装置,5,次の装置のうち、法令に基づく定期自主検査を行わなければならないものはどれか。,定期自主検査を行わなければならないのは⑤のフライアッシュ袋詰め箇所のプッシュプル型換気装置です。粉じん障害防止規則の対象となる特定粉じん発生源に設置した局所排気装置・プッシュプル型換気装置は定期自主検査の対象です。木材加工用丸のこ盤の局所排気（①）、アーク溶接の全体換気（②）、エタノール（有機溶剤規制対象外、③）、アンモニアのプッシュプル（④）はそれぞれ対象外または別の規制です。
