question_no,type,category,tags,stem,preamble,statement_a,statement_b,statement_c,statement_d,choice_1,choice_2,choice_3,choice_4,choice_5,correct,explanation,explanation_summary,explanation_correct,explanation_choices,explanation_point
155,single,労働衛生（有害業務）,演習;労働衛生,労働衛生(有害業務に係るもの)における赤外線に関する次の記述のうち、適切なものはどれか。,,,,,,プッシュプル型換気装置は、気流を全く発生させない密閉容器である。,作業環境測定は、労働者の身長を測るためだけに行う。,赤外線ばく露では、熱作用による眼や皮膚への影響に注意する。,有害性の低い物質への代替は、リスク低減とは無関係である。,有機溶剤の急性中毒では、中枢神経症状は全くみられない。,3,適切なものは3です。赤外線は熱線として強い熱作用を持ち、白内障や皮膚熱傷など眼・皮膚への影響に注意が必要です。1はプッシュプル型換気装置は吹出し・吸込みの気流を発生させて有害物を制御する装置であり、「気流を全く発生させない密閉容器」は誤り。2は作業環境測定は有害因子の状態把握が目的で、労働者の身長を測るためのものではないため誤り。4は有害性の低い物質への代替はリスク低減策そのものであり、「無関係」は誤り。5は有機溶剤の急性中毒では頭痛・めまい等の中枢神経症状がみられるため、「全くみられない」は誤りです。,,,,
156,single,労働衛生（有害業務）,演習;労働衛生,労働衛生(有害業務に係るもの)における赤外線に関する次の記述のうち、不適切なものはどれか。,,,,,,赤外線は低温環境でのみ発生し、熱作用を持たない。,防じんマスクは、粉じんの種類や濃度に応じて適切な性能のものを選ぶ。,有害物ばく露対策では、発散源の密閉化が有効な場合がある。,有機溶剤は、蒸気の吸入や皮膚吸収により体内に取り込まれることがある。,水銀による健康障害では、神経症状や口腔内症状などが問題となる。,1,不適切なものは1です。赤外線は高温物体から放射され強い熱作用を持つため、「低温環境でのみ発生し熱作用を持たない」は誤りです。2は防じんマスクを粉じんの種類・濃度に応じた適切な性能のもので選ぶのは正しい。3は有害物ばく露対策として発散源の密閉化が有効な場合があるのも正しい。4は有機溶剤が蒸気の吸入や皮膚吸収により体内に取り込まれるのも正しい。5は水銀中毒で神経症状や口腔内症状(歯肉炎等)が問題となるのも正しい記述です。,,,,
157,single,労働衛生（有害業務）,演習;労働衛生,労働衛生(有害業務に係るもの)における酸素欠乏に関する次の記述のうち、正しいものはどれか。,,,,,,局所排気装置は、有害物を作業者の呼吸域へ集めるための装置である。,防じんマスクは、どの粉じんにも布製の簡易マスクで十分である。,有害物ばく露対策では、発散源を開放するほどばく露は低下する。,有機溶剤による健康障害は、経口摂取の場合に限られる。,酸素欠乏危険場所では、作業前の酸素濃度測定や換気が重要である。,5,正しいものは5です。酸素欠乏症等防止規則により、酸素欠乏危険場所では作業開始前の酸素濃度測定や十分な換気(酸素濃度18%以上の保持)が義務付けられており、災害防止に重要です。1は局所排気装置は呼吸域ではなく発散源近くで有害物を捕集する装置であり誤り。2は布製の簡易マスクでは粉じん防護として不十分なため誤り。3は発散源は密閉・囲い込みするほどばく露が下がるため、「開放するほど低下」は逆で誤り。4は有機溶剤は吸入・皮膚吸収でも障害を起こすため、経口摂取に限られるとするのは誤りです。,,,,
158,single,労働衛生（有害業務）,演習;労働衛生,労働衛生(有害業務に係るもの)における酸素欠乏に関する次の記述のうち、誤っているものはどれか。,,,,,,防毒マスクは、対象ガスに適した吸収缶を選定する必要がある。,生物学的モニタリングは、尿や血液中の物質などから体内取り込みを評価する方法である。,酸素欠乏危険場所では、酸素濃度の測定を行う必要はない。,有害業務に従事する労働者には、業務に応じた特殊健康診断が必要となる場合がある。,鉛による健康障害では、貧血、腹部症状、末梢神経障害などが問題となる。,3,誤っているものは3です。酸素欠乏危険場所では作業開始前の酸素濃度測定が法令上義務付けられているため、「測定を行う必要はない」は誤りです。1は防毒マスクで対象ガスに適合した吸収缶を選定するのは正しい。2は生物学的モニタリングが尿・血液中の物質から体内取り込みを評価する方法であるのも正しい。4は有害業務従事者に業務に応じた特殊健康診断が必要となる場合があるのも正しい。5は鉛中毒で貧血・腹部症状・末梢神経障害が問題となるのも正しい記述です。,,,,
159,single,労働衛生（有害業務）,演習;労働衛生,労働衛生(有害業務に係るもの)における酸素欠乏に関する次の記述のうち、適切なものはどれか。,,,,,,防毒マスクは、酸素濃度が低い場所でも単独で常に使用できる。,生物学的モニタリングは、作業場の照度だけを測る方法である。,有害業務に従事する労働者には、いかなる場合も健康診断は不要である。,酸素欠乏危険場所では、作業前の酸素濃度測定や換気が重要である。,鉛中毒では、肺胞で酸素が過剰に生成されることが主症状である。,4,適切なものは4です。酸素欠乏症等防止規則により、酸素欠乏危険場所では作業前の酸素濃度測定や換気が重要です。1は防毒マスクは酸素濃度の低い場所では酸素を供給できず使用不可で危険なため誤り。2は生物学的モニタリングは体内取り込み量の評価であり、作業場の照度を測る方法ではないため誤り。3は有害業務では特殊健康診断等が必要となる場合があり、「いかなる場合も不要」は誤り。5は鉛中毒の主症状は貧血や腹部症状等で、「肺胞で酸素が過剰に生成される」は事実無根の誤りです。,,,,
160,single,労働衛生（有害業務）,演習;労働衛生,労働衛生(有害業務に係るもの)における酸素欠乏に関する次の記述のうち、不適切なものはどれか。,,,,,,作業環境測定は、作業場の有害因子の状態を把握し改善に役立てるために行う。,酸素欠乏危険場所では、酸素濃度の測定を行う必要はない。,有害性の高い物質を有害性の低い物質へ代替することは、リスク低減策の一つである。,有機溶剤の急性中毒では、頭痛、めまい、意識障害などがみられることがある。,一酸化炭素はヘモグロビンと強く結合し、酸素運搬を妨げる。,2,不適切なものは2です。酸素欠乏危険場所では作業開始前の酸素濃度測定が法令で義務付けられているため、「測定を行う必要はない」は誤りです。1は作業環境測定が有害因子の状態把握と改善のために行われるのは正しい。3は有害性の高い物質を低い物質へ代替するリスク低減策も正しい。4は有機溶剤の急性中毒で頭痛・めまい・意識障害がみられることがあるのも正しい。5は一酸化炭素がヘモグロビンと強く結合し酸素運搬を妨げるのも正しい記述です。,,,,
161,single,労働衛生（有害業務）,演習;労働衛生,労働衛生(有害業務に係るもの)における熱中症に関する次の記述のうち、正しいものはどれか。,,,,,,暑熱作業では、WBGT値などを参考に作業環境や作業負荷を管理する。,プッシュプル型換気装置は、気流を全く発生させない密閉容器である。,作業環境測定は、労働者の身長を測るためだけに行う。,有害性の低い物質への代替は、リスク低減とは無関係である。,有機溶剤の急性中毒では、中枢神経症状は全くみられない。,1,正しいものは1です。暑熱環境ではWBGT値(暑さ指数)を参考に作業環境や作業負荷を管理し、休憩や水分・塩分補給を行うことが熱中症予防の基本です。2はプッシュプル型換気装置は気流を発生させて有害物を制御する装置であり、「気流を全く発生させない密閉容器」は誤り。3は作業環境測定は有害因子の把握が目的で、労働者の身長を測るためのものではないため誤り。4は有害性の低い物質への代替はリスク低減策であり、「無関係」は誤り。5は有機溶剤の急性中毒では中枢神経症状がみられるため、「全くみられない」は誤りです。,,,,
162,single,労働衛生（有害業務）,演習;労働衛生,労働衛生(有害業務に係るもの)における熱中症に関する次の記述のうち、誤っているものはどれか。,,,,,,防じんマスクは、粉じんの種類や濃度に応じて適切な性能のものを選ぶ。,有害物ばく露対策では、発散源の密閉化が有効な場合がある。,有機溶剤は、蒸気の吸入や皮膚吸収により体内に取り込まれることがある。,暑熱作業では、体調不良者にも休憩を取らせないことが最も重要である。,水銀による健康障害では、神経症状や口腔内症状などが問題となる。,4,誤っているものは4です。暑熱作業では体調不良者にこそ作業を中断させ休憩を取らせることが重要で、「休憩を取らせないことが最も重要」は熱中症を招くため誤りです。1は防じんマスクを粉じんの種類・濃度に応じて適切に選ぶのは正しい。2は有害物ばく露対策として発散源の密閉化が有効な場合があるのも正しい。3は有機溶剤が蒸気の吸入や皮膚吸収で体内に取り込まれるのも正しい。5は水銀中毒で神経症状や口腔内症状が問題となるのも正しい記述です。,,,,
163,single,労働衛生（有害業務）,演習;労働衛生,労働衛生(有害業務に係るもの)における熱中症に関する次の記述のうち、適切なものはどれか。,,,,,,防じんマスクは、どの粉じんにも布製の簡易マスクで十分である。,有害物ばく露対策では、発散源を開放するほどばく露は低下する。,有機溶剤による健康障害は、経口摂取の場合に限られる。,水銀は人体に必須であり、多量摂取ほど神経機能を高める。,暑熱作業では、WBGT値などを参考に作業環境や作業負荷を管理する。,5,適切なものは5です。暑熱作業ではWBGT値を参考に作業環境や作業負荷を管理し、休憩や水分・塩分補給を行うことが熱中症予防に重要です。1は粉じんの種類・濃度に応じた性能のマスクが必要で、布製の簡易マスクでは不十分なため誤り。2は発散源は密閉・囲い込みするほどばく露が下がるため、「開放するほど低下」は逆で誤り。3は有機溶剤は吸入・皮膚吸収でも障害を起こすため、経口摂取に限られるとするのは誤り。4は水銀は人体に必須の元素ではなく、多量摂取はむしろ神経障害を起こすため誤りです。,,,,
164,single,労働衛生（有害業務）,演習;労働衛生,労働衛生(有害業務に係るもの)における熱中症に関する次の記述のうち、不適切なものはどれか。,,,,,,生物学的モニタリングは、尿や血液中の物質などから体内取り込みを評価する方法である。,有害業務に従事する労働者には、業務に応じた特殊健康診断が必要となる場合がある。,暑熱作業では、体調不良者にも休憩を取らせないことが最も重要である。,鉛による健康障害では、貧血、腹部症状、末梢神経障害などが問題となる。,硫化水素は高濃度で急速に重篤な中毒を起こす危険がある。,3,不適切なものは3です。暑熱作業では体調不良者にこそ休憩を取らせることが重要で、「休憩を取らせないことが最も重要」は熱中症を招くため誤りです。1は生物学的モニタリングが尿・血液中の物質から体内取り込みを評価する方法であるのは正しい。2は有害業務従事者に業務に応じた特殊健康診断が必要となる場合があるのも正しい。4は鉛中毒で貧血・腹部症状・末梢神経障害が問題となるのも正しい。5は硫化水素が高濃度で急速に重篤な中毒を起こす危険があるのも正しい記述です。,,,,
165,single,労働衛生（有害業務）,演習;労働衛生,労働衛生(有害業務に係るもの)における局所排気装置に関する次の記述のうち、正しいものはどれか。,,,,,,防毒マスクは、酸素濃度が低い場所でも単独で常に使用できる。,有害物を発散する作業では、発散源に近い位置で捕集する局所排気装置が有効である。,生物学的モニタリングは、作業場の照度だけを測る方法である。,有害業務に従事する労働者には、いかなる場合も健康診断は不要である。,鉛中毒では、肺胞で酸素が過剰に生成されることが主症状である。,2,正しいものは2です。局所排気装置は有害物を発散源に近い位置で効率的に捕集し、作業者のばく露を低減するため有効です。1は防毒マスクは酸素濃度の低い場所では酸素を供給できず使用不可で危険なため誤り。3は生物学的モニタリングは体内取り込み量の評価であり、作業場の照度を測る方法ではないため誤り。4は有害業務では特殊健康診断等が必要となる場合があり、「いかなる場合も不要」は誤り。5は鉛中毒の主症状は貧血や腹部症状等で、「肺胞で酸素が過剰に生成される」は誤りです。,,,,
166,single,労働衛生（有害業務）,演習;労働衛生,労働衛生(有害業務に係るもの)における局所排気装置に関する次の記述のうち、誤っているものはどれか。,,,,,,作業環境測定は、作業場の有害因子の状態を把握し改善に役立てるために行う。,有害性の高い物質を有害性の低い物質へ代替することは、リスク低減策の一つである。,有機溶剤の急性中毒では、頭痛、めまい、意識障害などがみられることがある。,一酸化炭素はヘモグロビンと強く結合し、酸素運搬を妨げる。,局所排気装置は、有害物を作業者の呼吸域へ集めるための装置である。,5,誤っているものは5です。局所排気装置は、有害物を発散源の近くで捕捉し、ダクト・空気清浄装置・排風機を通じて屋外へ排出して作業者のばく露を防ぐ設備であり、有害物を作業者の呼吸域へ集める装置ではないため5は誤りです。1の作業環境測定による有害因子の状態把握と改善への活用、2の有害性の低い物質への代替によるリスク低減、3の有機溶剤急性中毒での頭痛・めまい・意識障害、4の一酸化炭素のヘモグロビンとの強い結合による酸素運搬阻害は、いずれも正しい記述です。,,,,
167,single,労働衛生（有害業務）,演習;労働衛生,労働衛生(有害業務に係るもの)における局所排気装置に関する次の記述のうち、適切なものはどれか。,,,,,,有害物を発散する作業では、発散源に近い位置で捕集する局所排気装置が有効である。,作業環境測定は、労働者の身長を測るためだけに行う。,有害性の低い物質への代替は、リスク低減とは無関係である。,有機溶剤の急性中毒では、中枢神経症状は全くみられない。,一酸化炭素は酸素よりヘモグロビンと結合しにくく、中毒を起こさない。,1,適切なものは1です。局所排気装置は発散源に近い位置で有害物を捕捉するほど効率がよく、作業者のばく露低減に有効なので1が適切です。2は作業環境測定は有害因子の状態把握のために行うもので身長測定が目的ではないため誤り、3は有害性の低い物質への代替は重要なリスク低減策でありリスク低減と無関係とする点が誤り、4は有機溶剤急性中毒ではめまい・意識障害などの中枢神経症状がみられるため「全くみられない」は誤り、5は一酸化炭素は酸素よりヘモグロビンとはるかに強く結合し中毒を起こすため誤りです。,,,,
168,single,労働衛生（有害業務）,演習;労働衛生,労働衛生(有害業務に係るもの)における局所排気装置に関する次の記述のうち、不適切なものはどれか。,,,,,,有害物ばく露対策では、発散源の密閉化が有効な場合がある。,有機溶剤は、蒸気の吸入や皮膚吸収により体内に取り込まれることがある。,水銀による健康障害では、神経症状や口腔内症状などが問題となる。,局所排気装置は、有害物を作業者の呼吸域へ集めるための装置である。,粉じんのうち肺胞まで到達しやすい微細な粒子は、じん肺の原因となることがある。,4,不適切なものは4です。局所排気装置は発散源近くで有害物を捕捉して屋外へ排出する装置であり、作業者の呼吸域へ有害物を集める装置ではないため4は誤りです。1の発散源の密閉化による対策、2の有機溶剤の蒸気吸入・皮膚吸収による体内取り込み、3の水銀による神経症状や口腔内症状、5の肺胞まで到達しやすい微細粒子がじん肺の原因となることは、いずれも正しい記述です。,,,,
169,single,労働衛生（有害業務）,演習;労働衛生,労働衛生(有害業務に係るもの)におけるプッシュプル型換気に関する次の記述のうち、正しいものはどれか。,,,,,,防じんマスクは、どの粉じんにも布製の簡易マスクで十分である。,有害物ばく露対策では、発散源を開放するほどばく露は低下する。,プッシュプル型換気装置は、吹出し気流と吸込み気流により有害物を制御する。,有機溶剤による健康障害は、経口摂取の場合に限られる。,水銀は人体に必須であり、多量摂取ほど神経機能を高める。,3,正しいものは3です。プッシュプル型換気装置は、一方から押し出す吹出し気流と他方で吸い込む吸込み気流を組み合わせ、その間に一様な気流をつくって有害物を捕捉・制御する設備なので3が適切です。1は粉じんの種類や濃度に応じた性能の防じんマスクが必要であり布製簡易マスクで十分とはいえず誤り、2は発散源を開放するほどばく露は増えるため誤り、4は有機溶剤は吸入や皮膚吸収でも障害を起こし経口摂取に限られないため誤り、5は水銀は人体に必須の元素ではなく有害であるため誤りです。,,,,
170,single,労働衛生（有害業務）,演習;労働衛生,労働衛生(有害業務に係るもの)におけるプッシュプル型換気に関する次の記述のうち、誤っているものはどれか。,,,,,,プッシュプル型換気装置は、気流を全く発生させない密閉容器である。,生物学的モニタリングは、尿や血液中の物質などから体内取り込みを評価する方法である。,有害業務に従事する労働者には、業務に応じた特殊健康診断が必要となる場合がある。,鉛による健康障害では、貧血、腹部症状、末梢神経障害などが問題となる。,硫化水素は高濃度で急速に重篤な中毒を起こす危険がある。,1,誤っているものは1です。プッシュプル型換気装置は吹出し気流と吸込み気流を組み合わせて気流を発生させ有害物を制御する設備であり、気流を全く発生させない密閉容器ではないため1が誤りです。2の尿や血液中の物質などから体内取り込みを評価する生物学的モニタリング、3の業務に応じた特殊健康診断、4の鉛による貧血・腹部症状・末梢神経障害、5の硫化水素の高濃度での急速な重篤中毒は、いずれも正しい記述です。,,,,
171,single,労働衛生（有害業務）,演習;労働衛生,労働衛生(有害業務に係るもの)におけるプッシュプル型換気に関する次の記述のうち、適切なものはどれか。,,,,,,生物学的モニタリングは、作業場の照度だけを測る方法である。,プッシュプル型換気装置は、吹出し気流と吸込み気流により有害物を制御する。,有害業務に従事する労働者には、いかなる場合も健康診断は不要である。,鉛中毒では、肺胞で酸素が過剰に生成されることが主症状である。,硫化水素は高濃度でも刺激性が弱く、健康障害を起こさない。,2,適切なものは2です。プッシュプル型換気装置は吹出し気流と吸込み気流により有害物を捕捉・制御する設備なので2が正しい記述です。1は生物学的モニタリングは体内に取り込まれた有害物を尿や血液から評価する方法であり照度測定ではないため誤り、3は有害業務では特殊健康診断が必要となる場合があり「いかなる場合も不要」は誤り、4は鉛中毒の主な症状は貧血・腹部症状・末梢神経障害などであり肺胞での酸素過剰生成というものはなく誤り、5は硫化水素は高濃度で重篤な中毒を起こすため誤りです。,,,,
172,single,労働衛生（有害業務）,演習;労働衛生,労働衛生(有害業務に係るもの)におけるプッシュプル型換気に関する次の記述のうち、不適切なものはどれか。,,,,,,有害性の高い物質を有害性の低い物質へ代替することは、リスク低減策の一つである。,有機溶剤の急性中毒では、頭痛、めまい、意識障害などがみられることがある。,一酸化炭素はヘモグロビンと強く結合し、酸素運搬を妨げる。,遊離けい酸を含む粉じんへの長期ばく露は、けい肺の原因となることがある。,プッシュプル型換気装置は、気流を全く発生させない密閉容器である。,5,不適切なものは5です。プッシュプル型換気装置は吹出し気流と吸込み気流を組み合わせて気流をつくり有害物を制御する設備であり、気流を全く発生させない密閉容器ではないため5が誤りです。1の有害性の低い物質への代替によるリスク低減、2の有機溶剤急性中毒での頭痛・めまい・意識障害、3の一酸化炭素のヘモグロビンとの強い結合による酸素運搬阻害、4の遊離けい酸を含む粉じんへの長期ばく露によるけい肺は、いずれも正しい記述です。,,,,
173,single,労働衛生（有害業務）,演習;労働衛生,労働衛生(有害業務に係るもの)における防毒マスクに関する次の記述のうち、正しいものはどれか。,,,,,,作業環境測定は、労働者の身長を測るためだけに行う。,有害性の低い物質への代替は、リスク低減とは無関係である。,有機溶剤の急性中毒では、中枢神経症状は全くみられない。,防毒マスクは、対象ガスに適した吸収缶を選定する必要がある。,一酸化炭素は酸素よりヘモグロビンと結合しにくく、中毒を起こさない。,4,正しいものは4です。防毒マスクは対象とする有害ガスの種類に適合した吸収缶を選定して使用する必要があるため4が正しい記述です。1は作業環境測定は有害因子の状態把握のために行うもので身長測定が目的ではないため誤り、2は有害性の低い物質への代替はリスク低減策でありリスク低減と無関係とするのは誤り、3は有機溶剤急性中毒では中枢神経症状がみられるため「全くみられない」は誤り、5は一酸化炭素は酸素よりヘモグロビンと強く結合し中毒を起こすため誤りです。,,,,
174,single,労働衛生（有害業務）,演習;労働衛生,労働衛生(有害業務に係るもの)における防毒マスクに関する次の記述のうち、誤っているものはどれか。,,,,,,有害物ばく露対策では、発散源の密閉化が有効な場合がある。,防毒マスクは、酸素濃度が低い場所でも単独で常に使用できる。,有機溶剤は、蒸気の吸入や皮膚吸収により体内に取り込まれることがある。,水銀による健康障害では、神経症状や口腔内症状などが問題となる。,粉じんのうち肺胞まで到達しやすい微細な粒子は、じん肺の原因となることがある。,2,誤っているものは2です。防毒マスクは空気中の有害ガスを吸収缶で除去するものにすぎず、酸素濃度が低い酸素欠乏のおそれのある場所では使用できず、送気マスクや空気呼吸器などが必要なため、単独で常に使用できるとする2は誤りです。1の発散源の密閉化、3の有機溶剤の蒸気吸入・皮膚吸収による体内取り込み、4の水銀による神経症状や口腔内症状、5の肺胞まで到達しやすい微細粒子によるじん肺は、いずれも正しい記述です。,,,,
175,single,労働衛生（有害業務）,演習;労働衛生,労働衛生(有害業務に係るもの)における防毒マスクに関する次の記述のうち、適切なものはどれか。,,,,,,有害物ばく露対策では、発散源を開放するほどばく露は低下する。,有機溶剤による健康障害は、経口摂取の場合に限られる。,防毒マスクは、対象ガスに適した吸収缶を選定する必要がある。,水銀は人体に必須であり、多量摂取ほど神経機能を高める。,粉じんは粒径が大きいほど肺胞の奥まで到達しやすい。,3,適切なものは3です。防毒マスクは対象ガスに適合した吸収缶を選定して使用する必要があるため3が正しい記述です。1は発散源を開放するほどばく露は増えるため誤り、2は有機溶剤は吸入や皮膚吸収でも障害を起こし経口摂取に限られないため誤り、4は水銀は人体に必須の元素ではなく有害であるため誤り、5は粉じんは粒径が小さいほど肺胞の奥まで到達しやすく「大きいほど」とするのは誤りです。,,,,
176,single,労働衛生（有害業務）,演習;労働衛生,労働衛生(有害業務に係るもの)における防毒マスクに関する次の記述のうち、不適切なものはどれか。,,,,,,防毒マスクは、酸素濃度が低い場所でも単独で常に使用できる。,有害業務に従事する労働者には、業務に応じた特殊健康診断が必要となる場合がある。,鉛による健康障害では、貧血、腹部症状、末梢神経障害などが問題となる。,硫化水素は高濃度で急速に重篤な中毒を起こす危険がある。,石綿ばく露は、肺がんや中皮腫などのリスクと関連する。,1,不適切なものは1です。防毒マスクは有害ガス用であり、酸素濃度が低い酸素欠乏のおそれのある場所では使用できず、送気マスクや空気呼吸器などが必要なため、酸素濃度が低い場所でも単独で常に使用できるとする1は誤りです。2の業務に応じた特殊健康診断、3の鉛による貧血・腹部症状・末梢神経障害、4の硫化水素の高濃度での急速な重篤中毒、5の石綿ばく露と肺がん・中皮腫のリスクの関連は、いずれも正しい記述です。,,,,
177,single,労働衛生（有害業務）,演習;労働衛生,労働衛生(有害業務に係るもの)における防じんマスクに関する次の記述のうち、正しいものはどれか。,,,,,,生物学的モニタリングは、作業場の照度だけを測る方法である。,有害業務に従事する労働者には、いかなる場合も健康診断は不要である。,鉛中毒では、肺胞で酸素が過剰に生成されることが主症状である。,硫化水素は高濃度でも刺激性が弱く、健康障害を起こさない。,防じんマスクは、粉じんの種類や濃度に応じて適切な性能のものを選ぶ。,5,正しいものは5です。防じんマスクは粉じんの種類や濃度に応じて適切な捕集効率・性能のものを選定する必要があるため5が正しい記述です。1は生物学的モニタリングは尿や血液から体内取り込みを評価する方法で照度測定ではないため誤り、2は有害業務では健康診断が必要となる場合があり「いかなる場合も不要」は誤り、3は鉛中毒の主な症状は貧血・腹部症状・末梢神経障害などであり肺胞での酸素過剰生成はなく誤り、4は硫化水素は高濃度で重篤な健康障害を起こすため誤りです。,,,,
178,single,労働衛生（有害業務）,演習;労働衛生,労働衛生(有害業務に係るもの)における防じんマスクに関する次の記述のうち、誤っているものはどれか。,,,,,,有害性の高い物質を有害性の低い物質へ代替することは、リスク低減策の一つである。,有機溶剤の急性中毒では、頭痛、めまい、意識障害などがみられることがある。,防じんマスクは、どの粉じんにも布製の簡易マスクで十分である。,一酸化炭素はヘモグロビンと強く結合し、酸素運搬を妨げる。,遊離けい酸を含む粉じんへの長期ばく露は、けい肺の原因となることがある。,3,誤っているものは3です。防じんマスクは粉じんの種類や濃度に応じた性能のものを選ぶ必要があり、どの粉じんにも布製の簡易マスクで十分とする3は誤りです。1の有害性の低い物質への代替によるリスク低減、2の有機溶剤急性中毒での頭痛・めまい・意識障害、4の一酸化炭素のヘモグロビンとの強い結合による酸素運搬阻害、5の遊離けい酸を含む粉じんへの長期ばく露によるけい肺は、いずれも正しい記述です。,,,,
179,single,労働衛生（有害業務）,演習;労働衛生,労働衛生(有害業務に係るもの)における防じんマスクに関する次の記述のうち、適切なものはどれか。,,,,,,有害性の低い物質への代替は、リスク低減とは無関係である。,有機溶剤の急性中毒では、中枢神経症状は全くみられない。,一酸化炭素は酸素よりヘモグロビンと結合しにくく、中毒を起こさない。,防じんマスクは、粉じんの種類や濃度に応じて適切な性能のものを選ぶ。,けい肺は、湿度が低いだけで発症する感染症である。,4,適切なものは4です。防じんマスクは粉じんの種類や濃度に応じて適切な性能のものを選定するため4が正しい記述です。1は有害性の低い物質への代替はリスク低減策でありリスク低減と無関係とするのは誤り、2は有機溶剤急性中毒では中枢神経症状がみられるため「全くみられない」は誤り、3は一酸化炭素は酸素よりヘモグロビンと強く結合し中毒を起こすため誤り、5はけい肺は遊離けい酸を含む粉じんの吸入による肺の線維化であり感染症ではないため誤りです。,,,,
180,single,労働衛生（有害業務）,演習;労働衛生,労働衛生(有害業務に係るもの)における防じんマスクに関する次の記述のうち、不適切なものはどれか。,,,,,,有機溶剤は、蒸気の吸入や皮膚吸収により体内に取り込まれることがある。,防じんマスクは、どの粉じんにも布製の簡易マスクで十分である。,水銀による健康障害では、神経症状や口腔内症状などが問題となる。,粉じんのうち肺胞まで到達しやすい微細な粒子は、じん肺の原因となることがある。,騒音性難聴では、初期に高音域の聴力低下がみられることがある。,2,不適切なものは2です。防じんマスクは粉じんの種類や濃度に応じた性能のものを選ぶ必要があり、どの粉じんにも布製の簡易マスクで十分とする2は誤りです。1の有機溶剤の蒸気吸入・皮膚吸収による体内取り込み、3の水銀による神経症状や口腔内症状、4の肺胞まで到達しやすい微細粒子によるじん肺、5の騒音性難聴で初期に高音域の聴力低下がみられることは、いずれも正しい記述です。,,,,
181,single,労働衛生（有害業務）,演習;労働衛生,労働衛生(有害業務に係るもの)における作業環境測定に関する次の記述のうち、正しいものはどれか。,,,,,,作業環境測定は、作業場の有害因子の状態を把握し改善に役立てるために行う。,有害物ばく露対策では、発散源を開放するほどばく露は低下する。,有機溶剤による健康障害は、経口摂取の場合に限られる。,水銀は人体に必須であり、多量摂取ほど神経機能を高める。,粉じんは粒径が大きいほど肺胞の奥まで到達しやすい。,1,正しいものは1です。作業環境測定は、作業場の有害因子の状態（濃度等）を把握し、その結果を環境改善に役立てるために行うものです。2は、発散源を開放するほど有害物が拡散してばく露は増えるため誤り（密閉化が有効）。3は、有機溶剤は蒸気の吸入や皮膚吸収でも障害を起こし経口に限られないため誤り。4は、水銀は人体に必須の元素ではなく、多量摂取で神経障害等を起こすため誤り。5は、粉じんは粒径が小さいほど肺胞の奥まで到達しやすく、記述が逆で誤りです。,,,,
182,single,労働衛生（有害業務）,演習;労働衛生,労働衛生(有害業務に係るもの)における作業環境測定に関する次の記述のうち、誤っているものはどれか。,,,,,,有害業務に従事する労働者には、業務に応じた特殊健康診断が必要となる場合がある。,鉛による健康障害では、貧血、腹部症状、末梢神経障害などが問題となる。,硫化水素は高濃度で急速に重篤な中毒を起こす危険がある。,作業環境測定は、労働者の身長を測るためだけに行う。,石綿ばく露は、肺がんや中皮腫などのリスクと関連する。,4,誤っているものは4です。作業環境測定は有害因子の濃度や環境状態を把握するために行うもので、身長測定とは無関係であり、この記述が誤りです。1は、有害業務従事者には業務に応じた特殊健康診断が必要となる場合があり正しい。2は、鉛中毒では貧血・腹部症状・末梢神経障害がみられ正しい。3は、硫化水素は高濃度で急速かつ重篤な中毒を起こすため正しい。5は、石綿ばく露が肺がんや中皮腫のリスクと関連するのは事実で正しいです。,,,,
183,single,労働衛生（有害業務）,演習;労働衛生,労働衛生(有害業務に係るもの)における作業環境測定に関する次の記述のうち、適切なものはどれか。,,,,,,有害業務に従事する労働者には、いかなる場合も健康診断は不要である。,鉛中毒では、肺胞で酸素が過剰に生成されることが主症状である。,硫化水素は高濃度でも刺激性が弱く、健康障害を起こさない。,石綿は人体に吸収されると、肺疾患のリスクを完全に低下させる。,作業環境測定は、作業場の有害因子の状態を把握し改善に役立てるために行う。,5,適切なものは5です。作業環境測定は、作業場の有害因子の状態を把握し改善に役立てるために行います。1は、有害業務従事者には健康診断が必要となる場合があり「いかなる場合も不要」は誤り。2は、鉛中毒の主症状は貧血・腹部症状等で、肺胞で酸素が過剰生成されるという記述は誤り。3は、硫化水素は高濃度で重篤な中毒を起こすため「刺激性が弱く健康障害を起こさない」は誤り。4は、石綿はばく露によりリスクを高めるもので「完全に低下させる」は誤りです。,,,,
184,single,労働衛生（有害業務）,演習;労働衛生,労働衛生(有害業務に係るもの)における作業環境測定に関する次の記述のうち、不適切なものはどれか。,,,,,,有機溶剤の急性中毒では、頭痛、めまい、意識障害などがみられることがある。,一酸化炭素はヘモグロビンと強く結合し、酸素運搬を妨げる。,作業環境測定は、労働者の身長を測るためだけに行う。,遊離けい酸を含む粉じんへの長期ばく露は、けい肺の原因となることがある。,手持ち振動工具の使用では、末梢循環障害や末梢神経障害に注意する。,3,不適切なものは3です。作業環境測定は有害因子の状態把握のために行うもので、「労働者の身長を測るためだけに行う」という記述は誤りです。1は、有機溶剤の急性中毒で頭痛・めまい・意識障害がみられるのは正しい。2は、一酸化炭素がヘモグロビンと強く結合し酸素運搬を妨げるのは正しい。4は、遊離けい酸を含む粉じんの長期ばく露がけい肺の原因となるのは正しい。5は、手持ち振動工具の使用で末梢循環障害や末梢神経障害に注意するのも正しいです。,,,,
