開催年数,問番号,科目,問,(1),(2),(3),(4),(5),正答番号,解説
オリジナル,145,労働衛生(有害業務に係るもの),労働衛生(有害業務に係るもの)における電離放射線に関する次の記述のうち、正しいものはどれか。,赤外線は低温環境でのみ発生し、熱作用を持たない。,電離放射線へのばく露管理では、外部被ばくと内部被ばくの両方に注意する。,局所排気装置は、有害物を作業者の呼吸域へ集めるための装置である。,防じんマスクは、どの粉じんにも布製の簡易マスクで十分である。,有害物ばく露対策では、発散源を開放するほどばく露は低下する。,2,放射線管理では外部被ばくと、放射性物質の摂取等による内部被ばくを考えます。 したがって、正しいものは2です。
オリジナル,146,労働衛生(有害業務に係るもの),労働衛生(有害業務に係るもの)における電離放射線に関する次の記述のうち、誤っているものはどれか。,暑熱作業では、WBGT値などを参考に作業環境や作業負荷を管理する。,防毒マスクは、対象ガスに適した吸収缶を選定する必要がある。,生物学的モニタリングは、尿や血液中の物質などから体内取り込みを評価する方法である。,有害業務に従事する労働者には、業務に応じた特殊健康診断が必要となる場合がある。,電離放射線では、内部被ばくは存在せず外部被ばくだけを考えればよい。,5,放射線管理では外部被ばくと、放射性物質の摂取等による内部被ばくを考えます。 したがって、誤っているものは5です。
オリジナル,147,労働衛生(有害業務に係るもの),労働衛生(有害業務に係るもの)における電離放射線に関する次の記述のうち、適切なものはどれか。,電離放射線へのばく露管理では、外部被ばくと内部被ばくの両方に注意する。,暑熱作業では、体調不良者にも休憩を取らせないことが最も重要である。,防毒マスクは、酸素濃度が低い場所でも単独で常に使用できる。,生物学的モニタリングは、作業場の照度だけを測る方法である。,有害業務に従事する労働者には、いかなる場合も健康診断は不要である。,1,放射線管理では外部被ばくと、放射性物質の摂取等による内部被ばくを考えます。 したがって、正しいものは1です。
オリジナル,148,労働衛生(有害業務に係るもの),労働衛生(有害業務に係るもの)における電離放射線に関する次の記述のうち、不適切なものはどれか。,プッシュプル型換気装置は、吹出し気流と吸込み気流により有害物を制御する。,作業環境測定は、作業場の有害因子の状態を把握し改善に役立てるために行う。,有害性の高い物質を有害性の低い物質へ代替することは、リスク低減策の一つである。,電離放射線では、内部被ばくは存在せず外部被ばくだけを考えればよい。,有機溶剤の急性中毒では、頭痛、めまい、意識障害などがみられることがある。,4,放射線管理では外部被ばくと、放射性物質の摂取等による内部被ばくを考えます。 したがって、誤っているものは4です。
オリジナル,149,労働衛生(有害業務に係るもの),労働衛生(有害業務に係るもの)における紫外線に関する次の記述のうち、正しいものはどれか。,酸素欠乏危険場所では、酸素濃度の測定を行う必要はない。,プッシュプル型換気装置は、気流を全く発生させない密閉容器である。,紫外線は、眼や皮膚に障害を起こすことがある。,作業環境測定は、労働者の身長を測るためだけに行う。,有害性の低い物質への代替は、リスク低減とは無関係である。,3,紫外線は角膜炎や皮膚障害などの原因となることがあります。 したがって、正しいものは3です。
オリジナル,150,労働衛生(有害業務に係るもの),労働衛生(有害業務に係るもの)における紫外線に関する次の記述のうち、誤っているものはどれか。,紫外線は、眼や皮膚に全く影響を及ぼさない。,有害物を発散する作業では、発散源に近い位置で捕集する局所排気装置が有効である。,防じんマスクは、粉じんの種類や濃度に応じて適切な性能のものを選ぶ。,有害物ばく露対策では、発散源の密閉化が有効な場合がある。,有機溶剤は、蒸気の吸入や皮膚吸収により体内に取り込まれることがある。,1,紫外線は角膜炎や皮膚障害などの原因となることがあります。 したがって、誤っているものは1です。
オリジナル,151,労働衛生(有害業務に係るもの),労働衛生(有害業務に係るもの)における紫外線に関する次の記述のうち、適切なものはどれか。,局所排気装置は、有害物を作業者の呼吸域へ集めるための装置である。,紫外線は、眼や皮膚に障害を起こすことがある。,防じんマスクは、どの粉じんにも布製の簡易マスクで十分である。,有害物ばく露対策では、発散源を開放するほどばく露は低下する。,有機溶剤による健康障害は、経口摂取の場合に限られる。,2,紫外線は角膜炎や皮膚障害などの原因となることがあります。 したがって、正しいものは2です。
オリジナル,152,労働衛生(有害業務に係るもの),労働衛生(有害業務に係るもの)における紫外線に関する次の記述のうち、不適切なものはどれか。,防毒マスクは、対象ガスに適した吸収缶を選定する必要がある。,生物学的モニタリングは、尿や血液中の物質などから体内取り込みを評価する方法である。,有害業務に従事する労働者には、業務に応じた特殊健康診断が必要となる場合がある。,鉛による健康障害では、貧血、腹部症状、末梢神経障害などが問題となる。,紫外線は、眼や皮膚に全く影響を及ぼさない。,5,紫外線は角膜炎や皮膚障害などの原因となることがあります。 したがって、誤っているものは5です。
オリジナル,153,労働衛生(有害業務に係るもの),労働衛生(有害業務に係るもの)における赤外線に関する次の記述のうち、正しいものはどれか。,暑熱作業では、体調不良者にも休憩を取らせないことが最も重要である。,防毒マスクは、酸素濃度が低い場所でも単独で常に使用できる。,生物学的モニタリングは、作業場の照度だけを測る方法である。,赤外線ばく露では、熱作用による眼や皮膚への影響に注意する。,有害業務に従事する労働者には、いかなる場合も健康診断は不要である。,4,赤外線は熱作用を持ち、眼や皮膚への影響が問題になります。 したがって、正しいものは4です。
オリジナル,154,労働衛生(有害業務に係るもの),労働衛生(有害業務に係るもの)における赤外線に関する次の記述のうち、誤っているものはどれか。,プッシュプル型換気装置は、吹出し気流と吸込み気流により有害物を制御する。,赤外線は低温環境でのみ発生し、熱作用を持たない。,作業環境測定は、作業場の有害因子の状態を把握し改善に役立てるために行う。,有害性の高い物質を有害性の低い物質へ代替することは、リスク低減策の一つである。,有機溶剤の急性中毒では、頭痛、めまい、意識障害などがみられることがある。,2,赤外線は熱作用を持ち、眼や皮膚への影響が問題になります。 したがって、誤っているものは2です。
オリジナル,155,労働衛生(有害業務に係るもの),労働衛生(有害業務に係るもの)における赤外線に関する次の記述のうち、適切なものはどれか。,プッシュプル型換気装置は、気流を全く発生させない密閉容器である。,作業環境測定は、労働者の身長を測るためだけに行う。,赤外線ばく露では、熱作用による眼や皮膚への影響に注意する。,有害性の低い物質への代替は、リスク低減とは無関係である。,有機溶剤の急性中毒では、中枢神経症状は全くみられない。,3,赤外線は熱作用を持ち、眼や皮膚への影響が問題になります。 したがって、正しいものは3です。
オリジナル,156,労働衛生(有害業務に係るもの),労働衛生(有害業務に係るもの)における赤外線に関する次の記述のうち、不適切なものはどれか。,赤外線は低温環境でのみ発生し、熱作用を持たない。,防じんマスクは、粉じんの種類や濃度に応じて適切な性能のものを選ぶ。,有害物ばく露対策では、発散源の密閉化が有効な場合がある。,有機溶剤は、蒸気の吸入や皮膚吸収により体内に取り込まれることがある。,水銀による健康障害では、神経症状や口腔内症状などが問題となる。,1,赤外線は熱作用を持ち、眼や皮膚への影響が問題になります。 したがって、誤っているものは1です。
オリジナル,157,労働衛生(有害業務に係るもの),労働衛生(有害業務に係るもの)における酸素欠乏に関する次の記述のうち、正しいものはどれか。,局所排気装置は、有害物を作業者の呼吸域へ集めるための装置である。,防じんマスクは、どの粉じんにも布製の簡易マスクで十分である。,有害物ばく露対策では、発散源を開放するほどばく露は低下する。,有機溶剤による健康障害は、経口摂取の場合に限られる。,酸素欠乏危険場所では、作業前の酸素濃度測定や換気が重要である。,5,酸素欠乏災害を防ぐには、測定、換気、監視などが重要です。 したがって、正しいものは5です。
オリジナル,158,労働衛生(有害業務に係るもの),労働衛生(有害業務に係るもの)における酸素欠乏に関する次の記述のうち、誤っているものはどれか。,防毒マスクは、対象ガスに適した吸収缶を選定する必要がある。,生物学的モニタリングは、尿や血液中の物質などから体内取り込みを評価する方法である。,酸素欠乏危険場所では、酸素濃度の測定を行う必要はない。,有害業務に従事する労働者には、業務に応じた特殊健康診断が必要となる場合がある。,鉛による健康障害では、貧血、腹部症状、末梢神経障害などが問題となる。,3,酸素欠乏災害を防ぐには、測定、換気、監視などが重要です。 したがって、誤っているものは3です。
オリジナル,159,労働衛生(有害業務に係るもの),労働衛生(有害業務に係るもの)における酸素欠乏に関する次の記述のうち、適切なものはどれか。,防毒マスクは、酸素濃度が低い場所でも単独で常に使用できる。,生物学的モニタリングは、作業場の照度だけを測る方法である。,有害業務に従事する労働者には、いかなる場合も健康診断は不要である。,酸素欠乏危険場所では、作業前の酸素濃度測定や換気が重要である。,鉛中毒では、肺胞で酸素が過剰に生成されることが主症状である。,4,酸素欠乏災害を防ぐには、測定、換気、監視などが重要です。 したがって、正しいものは4です。
オリジナル,160,労働衛生(有害業務に係るもの),労働衛生(有害業務に係るもの)における酸素欠乏に関する次の記述のうち、不適切なものはどれか。,作業環境測定は、作業場の有害因子の状態を把握し改善に役立てるために行う。,酸素欠乏危険場所では、酸素濃度の測定を行う必要はない。,有害性の高い物質を有害性の低い物質へ代替することは、リスク低減策の一つである。,有機溶剤の急性中毒では、頭痛、めまい、意識障害などがみられることがある。,一酸化炭素はヘモグロビンと強く結合し、酸素運搬を妨げる。,2,酸素欠乏災害を防ぐには、測定、換気、監視などが重要です。 したがって、誤っているものは2です。
オリジナル,161,労働衛生(有害業務に係るもの),労働衛生(有害業務に係るもの)における熱中症に関する次の記述のうち、正しいものはどれか。,暑熱作業では、WBGT値などを参考に作業環境や作業負荷を管理する。,プッシュプル型換気装置は、気流を全く発生させない密閉容器である。,作業環境測定は、労働者の身長を測るためだけに行う。,有害性の低い物質への代替は、リスク低減とは無関係である。,有機溶剤の急性中毒では、中枢神経症状は全くみられない。,1,暑熱作業ではWBGT、休憩、水分・塩分補給、体調確認が重要です。 したがって、正しいものは1です。
オリジナル,162,労働衛生(有害業務に係るもの),労働衛生(有害業務に係るもの)における熱中症に関する次の記述のうち、誤っているものはどれか。,防じんマスクは、粉じんの種類や濃度に応じて適切な性能のものを選ぶ。,有害物ばく露対策では、発散源の密閉化が有効な場合がある。,有機溶剤は、蒸気の吸入や皮膚吸収により体内に取り込まれることがある。,暑熱作業では、体調不良者にも休憩を取らせないことが最も重要である。,水銀による健康障害では、神経症状や口腔内症状などが問題となる。,4,暑熱作業ではWBGT、休憩、水分・塩分補給、体調確認が重要です。 したがって、誤っているものは4です。
オリジナル,163,労働衛生(有害業務に係るもの),労働衛生(有害業務に係るもの)における熱中症に関する次の記述のうち、適切なものはどれか。,防じんマスクは、どの粉じんにも布製の簡易マスクで十分である。,有害物ばく露対策では、発散源を開放するほどばく露は低下する。,有機溶剤による健康障害は、経口摂取の場合に限られる。,水銀は人体に必須であり、多量摂取ほど神経機能を高める。,暑熱作業では、WBGT値などを参考に作業環境や作業負荷を管理する。,5,暑熱作業ではWBGT、休憩、水分・塩分補給、体調確認が重要です。 したがって、正しいものは5です。
オリジナル,164,労働衛生(有害業務に係るもの),労働衛生(有害業務に係るもの)における熱中症に関する次の記述のうち、不適切なものはどれか。,生物学的モニタリングは、尿や血液中の物質などから体内取り込みを評価する方法である。,有害業務に従事する労働者には、業務に応じた特殊健康診断が必要となる場合がある。,暑熱作業では、体調不良者にも休憩を取らせないことが最も重要である。,鉛による健康障害では、貧血、腹部症状、末梢神経障害などが問題となる。,硫化水素は高濃度で急速に重篤な中毒を起こす危険がある。,3,暑熱作業ではWBGT、休憩、水分・塩分補給、体調確認が重要です。 したがって、誤っているものは3です。
オリジナル,165,労働衛生(有害業務に係るもの),労働衛生(有害業務に係るもの)における局所排気装置に関する次の記述のうち、正しいものはどれか。,防毒マスクは、酸素濃度が低い場所でも単独で常に使用できる。,有害物を発散する作業では、発散源に近い位置で捕集する局所排気装置が有効である。,生物学的モニタリングは、作業場の照度だけを測る方法である。,有害業務に従事する労働者には、いかなる場合も健康診断は不要である。,鉛中毒では、肺胞で酸素が過剰に生成されることが主症状である。,2,局所排気装置は有害物を発散源近くで捕集し、作業者のばく露を低減します。 したがって、正しいものは2です。
オリジナル,166,労働衛生(有害業務に係るもの),労働衛生(有害業務に係るもの)における局所排気装置に関する次の記述のうち、誤っているものはどれか。,作業環境測定は、作業場の有害因子の状態を把握し改善に役立てるために行う。,有害性の高い物質を有害性の低い物質へ代替することは、リスク低減策の一つである。,有機溶剤の急性中毒では、頭痛、めまい、意識障害などがみられることがある。,一酸化炭素はヘモグロビンと強く結合し、酸素運搬を妨げる。,局所排気装置は、有害物を作業者の呼吸域へ集めるための装置である。,5,局所排気装置は有害物を発散源近くで捕集し、作業者のばく露を低減します。 したがって、誤っているものは5です。
オリジナル,167,労働衛生(有害業務に係るもの),労働衛生(有害業務に係るもの)における局所排気装置に関する次の記述のうち、適切なものはどれか。,有害物を発散する作業では、発散源に近い位置で捕集する局所排気装置が有効である。,作業環境測定は、労働者の身長を測るためだけに行う。,有害性の低い物質への代替は、リスク低減とは無関係である。,有機溶剤の急性中毒では、中枢神経症状は全くみられない。,一酸化炭素は酸素よりヘモグロビンと結合しにくく、中毒を起こさない。,1,局所排気装置は有害物を発散源近くで捕集し、作業者のばく露を低減します。 したがって、正しいものは1です。
オリジナル,168,労働衛生(有害業務に係るもの),労働衛生(有害業務に係るもの)における局所排気装置に関する次の記述のうち、不適切なものはどれか。,有害物ばく露対策では、発散源の密閉化が有効な場合がある。,有機溶剤は、蒸気の吸入や皮膚吸収により体内に取り込まれることがある。,水銀による健康障害では、神経症状や口腔内症状などが問題となる。,局所排気装置は、有害物を作業者の呼吸域へ集めるための装置である。,粉じんのうち肺胞まで到達しやすい微細な粒子は、じん肺の原因となることがある。,4,局所排気装置は有害物を発散源近くで捕集し、作業者のばく露を低減します。 したがって、誤っているものは4です。
オリジナル,169,労働衛生(有害業務に係るもの),労働衛生(有害業務に係るもの)におけるプッシュプル型換気に関する次の記述のうち、正しいものはどれか。,防じんマスクは、どの粉じんにも布製の簡易マスクで十分である。,有害物ばく露対策では、発散源を開放するほどばく露は低下する。,プッシュプル型換気装置は、吹出し気流と吸込み気流により有害物を制御する。,有機溶剤による健康障害は、経口摂取の場合に限られる。,水銀は人体に必須であり、多量摂取ほど神経機能を高める。,3,プッシュプル型換気は、押し出す気流と吸い込む気流を組み合わせます。 したがって、正しいものは3です。
オリジナル,170,労働衛生(有害業務に係るもの),労働衛生(有害業務に係るもの)におけるプッシュプル型換気に関する次の記述のうち、誤っているものはどれか。,プッシュプル型換気装置は、気流を全く発生させない密閉容器である。,生物学的モニタリングは、尿や血液中の物質などから体内取り込みを評価する方法である。,有害業務に従事する労働者には、業務に応じた特殊健康診断が必要となる場合がある。,鉛による健康障害では、貧血、腹部症状、末梢神経障害などが問題となる。,硫化水素は高濃度で急速に重篤な中毒を起こす危険がある。,1,プッシュプル型換気は、押し出す気流と吸い込む気流を組み合わせます。 したがって、誤っているものは1です。
オリジナル,171,労働衛生(有害業務に係るもの),労働衛生(有害業務に係るもの)におけるプッシュプル型換気に関する次の記述のうち、適切なものはどれか。,生物学的モニタリングは、作業場の照度だけを測る方法である。,プッシュプル型換気装置は、吹出し気流と吸込み気流により有害物を制御する。,有害業務に従事する労働者には、いかなる場合も健康診断は不要である。,鉛中毒では、肺胞で酸素が過剰に生成されることが主症状である。,硫化水素は高濃度でも刺激性が弱く、健康障害を起こさない。,2,プッシュプル型換気は、押し出す気流と吸い込む気流を組み合わせます。 したがって、正しいものは2です。
オリジナル,172,労働衛生(有害業務に係るもの),労働衛生(有害業務に係るもの)におけるプッシュプル型換気に関する次の記述のうち、不適切なものはどれか。,有害性の高い物質を有害性の低い物質へ代替することは、リスク低減策の一つである。,有機溶剤の急性中毒では、頭痛、めまい、意識障害などがみられることがある。,一酸化炭素はヘモグロビンと強く結合し、酸素運搬を妨げる。,遊離けい酸を含む粉じんへの長期ばく露は、けい肺の原因となることがある。,プッシュプル型換気装置は、気流を全く発生させない密閉容器である。,5,プッシュプル型換気は、押し出す気流と吸い込む気流を組み合わせます。 したがって、誤っているものは5です。
オリジナル,173,労働衛生(有害業務に係るもの),労働衛生(有害業務に係るもの)における防毒マスクに関する次の記述のうち、正しいものはどれか。,作業環境測定は、労働者の身長を測るためだけに行う。,有害性の低い物質への代替は、リスク低減とは無関係である。,有機溶剤の急性中毒では、中枢神経症状は全くみられない。,防毒マスクは、対象ガスに適した吸収缶を選定する必要がある。,一酸化炭素は酸素よりヘモグロビンと結合しにくく、中毒を起こさない。,4,防毒マスクは有害ガス用であり、酸素欠乏場所では送気マスク等が必要です。 したがって、正しいものは4です。
オリジナル,174,労働衛生(有害業務に係るもの),労働衛生(有害業務に係るもの)における防毒マスクに関する次の記述のうち、誤っているものはどれか。,有害物ばく露対策では、発散源の密閉化が有効な場合がある。,防毒マスクは、酸素濃度が低い場所でも単独で常に使用できる。,有機溶剤は、蒸気の吸入や皮膚吸収により体内に取り込まれることがある。,水銀による健康障害では、神経症状や口腔内症状などが問題となる。,粉じんのうち肺胞まで到達しやすい微細な粒子は、じん肺の原因となることがある。,2,防毒マスクは有害ガス用であり、酸素欠乏場所では送気マスク等が必要です。 したがって、誤っているものは2です。
オリジナル,175,労働衛生(有害業務に係るもの),労働衛生(有害業務に係るもの)における防毒マスクに関する次の記述のうち、適切なものはどれか。,有害物ばく露対策では、発散源を開放するほどばく露は低下する。,有機溶剤による健康障害は、経口摂取の場合に限られる。,防毒マスクは、対象ガスに適した吸収缶を選定する必要がある。,水銀は人体に必須であり、多量摂取ほど神経機能を高める。,粉じんは粒径が大きいほど肺胞の奥まで到達しやすい。,3,防毒マスクは有害ガス用であり、酸素欠乏場所では送気マスク等が必要です。 したがって、正しいものは3です。
オリジナル,176,労働衛生(有害業務に係るもの),労働衛生(有害業務に係るもの)における防毒マスクに関する次の記述のうち、不適切なものはどれか。,防毒マスクは、酸素濃度が低い場所でも単独で常に使用できる。,有害業務に従事する労働者には、業務に応じた特殊健康診断が必要となる場合がある。,鉛による健康障害では、貧血、腹部症状、末梢神経障害などが問題となる。,硫化水素は高濃度で急速に重篤な中毒を起こす危険がある。,石綿ばく露は、肺がんや中皮腫などのリスクと関連する。,1,防毒マスクは有害ガス用であり、酸素欠乏場所では送気マスク等が必要です。 したがって、誤っているものは1です。
オリジナル,177,労働衛生(有害業務に係るもの),労働衛生(有害業務に係るもの)における防じんマスクに関する次の記述のうち、正しいものはどれか。,生物学的モニタリングは、作業場の照度だけを測る方法である。,有害業務に従事する労働者には、いかなる場合も健康診断は不要である。,鉛中毒では、肺胞で酸素が過剰に生成されることが主症状である。,硫化水素は高濃度でも刺激性が弱く、健康障害を起こさない。,防じんマスクは、粉じんの種類や濃度に応じて適切な性能のものを選ぶ。,5,粉じんばく露対策では、作業に応じた防じんマスクの選定が必要です。 したがって、正しいものは5です。
オリジナル,178,労働衛生(有害業務に係るもの),労働衛生(有害業務に係るもの)における防じんマスクに関する次の記述のうち、誤っているものはどれか。,有害性の高い物質を有害性の低い物質へ代替することは、リスク低減策の一つである。,有機溶剤の急性中毒では、頭痛、めまい、意識障害などがみられることがある。,防じんマスクは、どの粉じんにも布製の簡易マスクで十分である。,一酸化炭素はヘモグロビンと強く結合し、酸素運搬を妨げる。,遊離けい酸を含む粉じんへの長期ばく露は、けい肺の原因となることがある。,3,粉じんばく露対策では、作業に応じた防じんマスクの選定が必要です。 したがって、誤っているものは3です。
オリジナル,179,労働衛生(有害業務に係るもの),労働衛生(有害業務に係るもの)における防じんマスクに関する次の記述のうち、適切なものはどれか。,有害性の低い物質への代替は、リスク低減とは無関係である。,有機溶剤の急性中毒では、中枢神経症状は全くみられない。,一酸化炭素は酸素よりヘモグロビンと結合しにくく、中毒を起こさない。,防じんマスクは、粉じんの種類や濃度に応じて適切な性能のものを選ぶ。,けい肺は、湿度が低いだけで発症する感染症である。,4,粉じんばく露対策では、作業に応じた防じんマスクの選定が必要です。 したがって、正しいものは4です。
オリジナル,180,労働衛生(有害業務に係るもの),労働衛生(有害業務に係るもの)における防じんマスクに関する次の記述のうち、不適切なものはどれか。,有機溶剤は、蒸気の吸入や皮膚吸収により体内に取り込まれることがある。,防じんマスクは、どの粉じんにも布製の簡易マスクで十分である。,水銀による健康障害では、神経症状や口腔内症状などが問題となる。,粉じんのうち肺胞まで到達しやすい微細な粒子は、じん肺の原因となることがある。,騒音性難聴では、初期に高音域の聴力低下がみられることがある。,2,粉じんばく露対策では、作業に応じた防じんマスクの選定が必要です。 したがって、誤っているものは2です。
オリジナル,181,労働衛生(有害業務に係るもの),労働衛生(有害業務に係るもの)における作業環境測定に関する次の記述のうち、正しいものはどれか。,作業環境測定は、作業場の有害因子の状態を把握し改善に役立てるために行う。,有害物ばく露対策では、発散源を開放するほどばく露は低下する。,有機溶剤による健康障害は、経口摂取の場合に限られる。,水銀は人体に必須であり、多量摂取ほど神経機能を高める。,粉じんは粒径が大きいほど肺胞の奥まで到達しやすい。,1,作業環境測定は、有害因子の濃度や環境状態を把握するために行います。 したがって、正しいものは1です。
オリジナル,182,労働衛生(有害業務に係るもの),労働衛生(有害業務に係るもの)における作業環境測定に関する次の記述のうち、誤っているものはどれか。,有害業務に従事する労働者には、業務に応じた特殊健康診断が必要となる場合がある。,鉛による健康障害では、貧血、腹部症状、末梢神経障害などが問題となる。,硫化水素は高濃度で急速に重篤な中毒を起こす危険がある。,作業環境測定は、労働者の身長を測るためだけに行う。,石綿ばく露は、肺がんや中皮腫などのリスクと関連する。,4,作業環境測定は、有害因子の濃度や環境状態を把握するために行います。 したがって、誤っているものは4です。
オリジナル,183,労働衛生(有害業務に係るもの),労働衛生(有害業務に係るもの)における作業環境測定に関する次の記述のうち、適切なものはどれか。,有害業務に従事する労働者には、いかなる場合も健康診断は不要である。,鉛中毒では、肺胞で酸素が過剰に生成されることが主症状である。,硫化水素は高濃度でも刺激性が弱く、健康障害を起こさない。,石綿は人体に吸収されると、肺疾患のリスクを完全に低下させる。,作業環境測定は、作業場の有害因子の状態を把握し改善に役立てるために行う。,5,作業環境測定は、有害因子の濃度や環境状態を把握するために行います。 したがって、正しいものは5です。
オリジナル,184,労働衛生(有害業務に係るもの),労働衛生(有害業務に係るもの)における作業環境測定に関する次の記述のうち、不適切なものはどれか。,有機溶剤の急性中毒では、頭痛、めまい、意識障害などがみられることがある。,一酸化炭素はヘモグロビンと強く結合し、酸素運搬を妨げる。,作業環境測定は、労働者の身長を測るためだけに行う。,遊離けい酸を含む粉じんへの長期ばく露は、けい肺の原因となることがある。,手持ち振動工具の使用では、末梢循環障害や末梢神経障害に注意する。,3,作業環境測定は、有害因子の濃度や環境状態を把握するために行います。 したがって、誤っているものは3です。
オリジナル,185,労働衛生(有害業務に係るもの),労働衛生(有害業務に係るもの)における生物学的モニタリングに関する次の記述のうち、正しいものはどれか。,有害性の低い物質への代替は、リスク低減とは無関係である。,生物学的モニタリングは、尿や血液中の物質などから体内取り込みを評価する方法である。,有機溶剤の急性中毒では、中枢神経症状は全くみられない。,一酸化炭素は酸素よりヘモグロビンと結合しにくく、中毒を起こさない。,けい肺は、湿度が低いだけで発症する感染症である。,2,生物学的モニタリングは、ばく露物質や代謝物を生体試料で評価します。 したがって、正しいものは2です。
オリジナル,186,労働衛生(有害業務に係るもの),労働衛生(有害業務に係るもの)における生物学的モニタリングに関する次の記述のうち、誤っているものはどれか。,有機溶剤は、蒸気の吸入や皮膚吸収により体内に取り込まれることがある。,水銀による健康障害では、神経症状や口腔内症状などが問題となる。,粉じんのうち肺胞まで到達しやすい微細な粒子は、じん肺の原因となることがある。,騒音性難聴では、初期に高音域の聴力低下がみられることがある。,生物学的モニタリングは、作業場の照度だけを測る方法である。,5,生物学的モニタリングは、ばく露物質や代謝物を生体試料で評価します。 したがって、誤っているものは5です。
オリジナル,187,労働衛生(有害業務に係るもの),労働衛生(有害業務に係るもの)における生物学的モニタリングに関する次の記述のうち、適切なものはどれか。,生物学的モニタリングは、尿や血液中の物質などから体内取り込みを評価する方法である。,有機溶剤による健康障害は、経口摂取の場合に限られる。,水銀は人体に必須であり、多量摂取ほど神経機能を高める。,粉じんは粒径が大きいほど肺胞の奥まで到達しやすい。,騒音性難聴は、ばく露を続けるほど必ず短期間で完全回復する。,1,生物学的モニタリングは、ばく露物質や代謝物を生体試料で評価します。 したがって、正しいものは1です。
オリジナル,188,労働衛生(有害業務に係るもの),労働衛生(有害業務に係るもの)における生物学的モニタリングに関する次の記述のうち、不適切なものはどれか。,鉛による健康障害では、貧血、腹部症状、末梢神経障害などが問題となる。,硫化水素は高濃度で急速に重篤な中毒を起こす危険がある。,石綿ばく露は、肺がんや中皮腫などのリスクと関連する。,生物学的モニタリングは、作業場の照度だけを測る方法である。,電離放射線へのばく露管理では、外部被ばくと内部被ばくの両方に注意する。,4,生物学的モニタリングは、ばく露物質や代謝物を生体試料で評価します。 したがって、誤っているものは4です。
オリジナル,189,労働衛生(有害業務に係るもの),労働衛生(有害業務に係るもの)における密閉化に関する次の記述のうち、正しいものはどれか。,有害業務に従事する労働者には、いかなる場合も健康診断は不要である。,鉛中毒では、肺胞で酸素が過剰に生成されることが主症状である。,有害物ばく露対策では、発散源の密閉化が有効な場合がある。,硫化水素は高濃度でも刺激性が弱く、健康障害を起こさない。,石綿は人体に吸収されると、肺疾患のリスクを完全に低下させる。,3,密閉化は有害物の発散を抑え、ばく露低減に有効です。 したがって、正しいものは3です。
オリジナル,190,労働衛生(有害業務に係るもの),労働衛生(有害業務に係るもの)における密閉化に関する次の記述のうち、誤っているものはどれか。,有害物ばく露対策では、発散源を開放するほどばく露は低下する。,有機溶剤の急性中毒では、頭痛、めまい、意識障害などがみられることがある。,一酸化炭素はヘモグロビンと強く結合し、酸素運搬を妨げる。,遊離けい酸を含む粉じんへの長期ばく露は、けい肺の原因となることがある。,手持ち振動工具の使用では、末梢循環障害や末梢神経障害に注意する。,1,密閉化は有害物の発散を抑え、ばく露低減に有効です。 したがって、誤っているものは1です。
オリジナル,191,労働衛生(有害業務に係るもの),労働衛生(有害業務に係るもの)における密閉化に関する次の記述のうち、適切なものはどれか。,有機溶剤の急性中毒では、中枢神経症状は全くみられない。,有害物ばく露対策では、発散源の密閉化が有効な場合がある。,一酸化炭素は酸素よりヘモグロビンと結合しにくく、中毒を起こさない。,けい肺は、湿度が低いだけで発症する感染症である。,振動障害では、手指の血流障害は問題にならない。,2,密閉化は有害物の発散を抑え、ばく露低減に有効です。 したがって、正しいものは2です。
オリジナル,192,労働衛生(有害業務に係るもの),労働衛生(有害業務に係るもの)における密閉化に関する次の記述のうち、不適切なものはどれか。,水銀による健康障害では、神経症状や口腔内症状などが問題となる。,粉じんのうち肺胞まで到達しやすい微細な粒子は、じん肺の原因となることがある。,騒音性難聴では、初期に高音域の聴力低下がみられることがある。,紫外線は、眼や皮膚に障害を起こすことがある。,有害物ばく露対策では、発散源を開放するほどばく露は低下する。,5,密閉化は有害物の発散を抑え、ばく露低減に有効です。 したがって、誤っているものは5です。
オリジナル,193,労働衛生(有害業務に係るもの),労働衛生(有害業務に係るもの)における代替化に関する次の記述のうち、正しいものはどれか。,有機溶剤による健康障害は、経口摂取の場合に限られる。,水銀は人体に必須であり、多量摂取ほど神経機能を高める。,粉じんは粒径が大きいほど肺胞の奥まで到達しやすい。,有害性の高い物質を有害性の低い物質へ代替することは、リスク低減策の一つである。,騒音性難聴は、ばく露を続けるほど必ず短期間で完全回復する。,4,代替化は発生源対策として重要なリスク低減策です。 したがって、正しいものは4です。
オリジナル,194,労働衛生(有害業務に係るもの),労働衛生(有害業務に係るもの)における代替化に関する次の記述のうち、誤っているものはどれか。,鉛による健康障害では、貧血、腹部症状、末梢神経障害などが問題となる。,有害性の低い物質への代替は、リスク低減とは無関係である。,硫化水素は高濃度で急速に重篤な中毒を起こす危険がある。,石綿ばく露は、肺がんや中皮腫などのリスクと関連する。,電離放射線へのばく露管理では、外部被ばくと内部被ばくの両方に注意する。,2,代替化は発生源対策として重要なリスク低減策です。 したがって、誤っているものは2です。
